feature_id,title,package,capability_areas,spec_refs,volumes,stage,lane,milestone,owner,depends_on,status,rows,rows_implemented,rows_partial,rows_missing,delivered,remaining,paperwork_remaining,external_prerequisites,advanced_by,effort_lo,effort_hi,stage_effort_lo,stage_effort_hi,verify_stage,verify_effort_lo,verify_effort_hi,target_date,demo_scenes,evidence
F-P1-05,Open public-source family connectors,P1,observation; data-platform,"V0 C-013, V00-T-008/-118; V2 V02-T-175; V7 DP-10-001/006, DAT-IN-04, SP-01/02/04/05/08/09",V0:3 V2:1 V7:9,B42,A,implementation,A2,F-P1-01; F-P1-04; F-P1-12,partial,13,0,10,3,"RSS/Atom, REST poller, upload and replay connectors; ECB, EU sanctions, World Bank live via generic connectors (SOURCE_INTEGRATION_STATUS.md)","Government/regulation feed with effective-date, jurisdiction and withdrawal semantics | Research/scientific corpus with version, authorship, retraction and licence handling | Patent and filing corpus with amendment replay | Climate/weather feed separating observation from model forecast and revisions | Geopolitical event feed (GDELT) after the lawful-collection design; news duplication/manipulation tests | Representative fixtures, authenticity/tamper tests and source-owner review per family",L1_CONNECTOR_COVERAGE.md refresh,,,4,8,4,8,,0,0,2027-02-03,"An EU sanctions amendment and a Red Sea weather advisory arrive through governed feeds; the NORDWERK corridor twin reflects the effective date, and a later withdrawal is replayed without rewriting history","apps/api/src/observation/connectors/rest.connector.ts; apps/api/src/observation/connectors/rss.connector.ts; apps/api/sr ; apps/api/src/observation/connectors (rss.connector.ts, rest.connector.ts, upload.connector.ts, replay.ts); L1_CONNECTOR_ ; L1_CONNECTOR_COVERAGE.md; apps/api/src/observation/coverage/coverage.service.ts; e2e/phase1-observation.spec.ts '5. cove"
F-P1-06,"Licensed market, geospatial, supply-chain and social feeds",P1,observation; data-platform,"V2 V02-T-176; V7 SP-03, SP-06, SP-07, SP-10",V2:1 V7:4,B42,A,implementation,A2,F-P1-05; F-P1-09,externally-blocked,5,0,2,3,"PortWatch (the owner's permission granted and recorded; collection within its recorded conditions), Comtrade upload path, synthetic carrier feed","Financial market feed with exchange time, sequence and entitlement reconciliation | Supply-chain API/EDI feed with party/shipment/route reconciliation | Satellite/geospatial product intake with footprint, sensor and alignment custody | Lawful social-signal collection with purpose, minimization, sampling and deletion controls",,UN Comtrade API key (owner) | Market-data entitlement/licence | Satellite/geospatial imagery provider account | Social platform API terms and legal review,,3,6,3,6,,0,0,2027-02-03,Live AIS/port-call data shows NORDWERK vessels diverting from Bab el-Mandeb around the Cape; satellite footprint of the congested anchorage is attached as evidence to the corridor warning,"apps/api/src/observation/connectors/rest.connector.ts (generic REST poller); SOURCE_INTEGRATION_STATUS.md (imf-portwatch ; SOURCE_INTEGRATION_STATUS.md (PortWatch replay, rights pending; un-comtrade-upload; synthetic carrier-advisories)"
F-P1-07,Crawler and Search agents,P1,observation; intelligence,"V5 ch39 AI-39-002, ch40 AI-40-001..005, App B AG-002, AG-003",V5:8,B44,A,implementation,A2,F-P1-04; F-P1-12,partial,8,0,2,6,"Agent kind ""crawler"" accepted under source contracts; SSRF and credential refusal (phase1-hostile-input A10)","Crawler connector with robots, identification, depth and link traversal under budget | Search Agent over registered providers/indexes with versioned search plans | Discovery results kept untrusted until collection/evidence admission | Source diversification and ranking/provider/language bias exposure | Search history and provider-log policy (tenant, purpose, retention, residency)",,External search provider API account (for web search; internal indexes need none),,2,4,2,4,,0,0,2027-04-13,"An analyst asks for alternative Red Sea bypass carriers; the Search Agent returns discovery candidates with provider and language bias disclosed, and only admitted sources become evidence","test/int/phase1-hostile-input.test.ts: A10 (SSRF, complete-origin credentials); apps/api/src/observation/connectors/http ; apps/api/src/observation/agents/agents.service.ts (kind crawler accepted); test/int/phase1-hostile-input.test.ts"
F-P1-08,"Enterprise application, database and CDC ingestion",P1,observation; data-platform; memory-graph,"V2 V02-T-177; V7 ch11 DP-11-*, ch15 DP-15-*, DZ-02, DAT-IN-05/09, DAT-KN-07, SP-11..15, DF-05; V8 ch14 PR-14-*, CAP-OB-09, AT-14",V2:1 V7:20 V8:7,B44,A,implementation,A2,F-P1-12; F-P1-11,partial,28,0,2,26,Operator upload of PDF/DOCX/CSV only; generic REST poller,"Enterprise integration contract type (system, object/table scope, extraction mode, cursor, transaction boundary) | Snapshot + incremental database connector and log-based CDC (log positions, before/after images, delete/tombstone propagation) | ERP and CRM connectors with business keys, consent/ownership and reconciliation totals | Document repository and email/collaboration integration with permission and version reconciliation | Log-gap pause/resnapshot, permission-loss stop and least-privilege certification | Enterprise integration manager console",Per-AT journey evidence (AT-14),ERP/CRM vendor sandbox tenant (e.g. SAP/Salesforce developer instance) for connector certification,,5,9,5,9,,0,0,2027-04-13,NORDWERK ERP purchase orders for the Regensburg line stream in by CDC; a cancelled PO propagates as a tombstone and the exposure to Bab el-Mandeb transit shrinks accordingly,"L1_CONNECTOR_COVERAGE.md rows 11-12 (ERP/CRM not implemented); apps/api/migrations/0022 connector_kind CHECK (upload,rss ; L1_CONNECTOR_COVERAGE.md ; apps/api/src/observation/connectors/upload.connector.ts (PDF/DOCX/CSV); e2e/phase1-observation.spec.ts: the registrar re"
F-P1-09,"Event, stream and telemetry ingestion runtime with live console",P1,observation; infrastructure; data-platform,"V3 V03-T-062, L1-C04; V6 ch20 IA-20-001/003/005; V7 ch13 DP-13-*, DAT-IN-08, SP-17, DF-06, DF-19; V8 ch13 PR-13-*, CAP-OB-08, AT-13",V3:2 V6:3 V7:9 V8:7,B43,A,implementation,A2,F-P1-12,partial,21,0,3,18,Compute completion separated from canonical admission in the acquisition lifecycle; at-least-once outbox with idempotent job ids,"Stream receiver with producer identity, partition key, sequence, event time and watermarks | Checkpointed, backpressured, replayable evidence stream with consequence-based shedding | Duplicate/reorder/gap/late-data handling and stream checkpoint recovery | Live event and telemetry console (sequence, time, trust, gaps, latency, correlation) with operator acknowledge/suppress/escalate | Cyber telemetry pattern with security isolation and loss accounting",Per-AT journey evidence (AT-13),,B23,4,7,4,7,,0,0,2026-12-23,"A burst of Regensburg line machine telemetry arrives out of order during a network blip; the console shows the gap interval and the watermark, and nothing downstream claims completeness","L1_CONNECTOR_COVERAGE.md row 10 (IoT requires stream ingestion, not BullMQ) ; apps/api/src/objects/outbox.publisher.ts (at-least-once, idempotent job ids, compare-and-set ack); migrations/0015_outbo ; apps/api/src/observation/connectors/upload.connector.ts; apps/api/src/observation/sources/upload.controller.ts; test/int"
F-P1-10,Edge and IoT remote collection,P1,infrastructure; observation,V6 ch21 IA-21-001/003/005; V7 SP-16,V6:3 V7:1,B43,A,implementation,A2,F-P1-09,missing,4,0,0,4,,"Edge collection node with offline buffering and custody transfer | Signed filter/summarize policy retaining mapping to source observations | Device identity, calibration and clock-quality handling; stop/quarantine on trust, clock or custody loss",,,,2,4,2,4,,0,0,2026-12-23,"A sensor gateway at the Regensburg plant loses connectivity, buffers readings, and uploads them later with clock-drift flagged and custody preserved",
F-P1-11,"Manifested file, bulk and secure transfer ingestion",P1,observation; data-platform; infrastructure,"V7 ch14 DP-14-001/002/005/006, DAT-IN-06, SP-18, SP-19, DF-04",V7:8,B42,A,implementation,A2,F-P1-12,partial,8,0,7,1,Partial writes never admitted (F12-F19); runs resume from checkpoints; declared closed-range API backfill (0028),"Transfer manifests with per-partition checksums, receipts and rejection sets | SFTP/managed exchange receiver and object-package bulk historical load with snapshot totals | Totals reconciliation, misrouting detection and resume-from-manifest | Golden adapter suite / connector certification",,,,1.5,3,1.5,3,,0,0,2027-02-03,A forwarder drops a five-year shipment-history package for the Bab el-Mandeb corridor; an interrupted transfer resumes from its manifest and publication is held until totals reconcile,apps/api/src/observation/connectors/sdk.ts; apps/api/src/observation/connectors/replay.ts; apps/api/migrations/0022 §5 a ; apps/api/src/observation/connectors/upload.connector.ts; apps/api/src/observation/sources/upload.controller.ts ; apps/api/migrations/0028 declared closed-range backfill; apps/api/test/int/phase4-acceptance.test.ts: P4-M0a
F-P1-12,"Isolated connector runtime, published adapter SDK and egress gateway",P1,infrastructure; observation; commercial; data-platform,"V3 L1-C02, V03-T-440; V6 INF-PF-12, RU-11, ch47 IA-47-001/003/005, ch28 IA-28-001/003/005; V7 DAT-IN-02, DP-14-003",V3:2 V6:8 V7:2,B40,A,implementation,A2,F-P1-01,partial,12,2,10,0,Lease-based connector worker that suspends and preserves custody (RU-11) | Connectors terminate protocols and cannot create canonical truth (IA-47-003); in-process egress policy,Connector cell: isolated per-connector processes with least privilege and rate governance | Versioned external adapter SDK and installable custom adapters inside the same boundaries | Egress gateway with purpose/data-class controls and transfer receipts; OS/network-level denial of generic internet access | Destination identity-change detection and policy-bounded retry | Credential rotation and connector requalification workflow,,,,2,4,2,4,,0,0,2026-11-06,A customer-written adapter for a NORDWERK logistics partner runs in its own cell; when it tries to call an unregistered host the egress gateway blocks it and the connector is suspended with custody intact,"apps/api/src/observation/connectors/http-client.ts (EgressPolicy host/scheme allowlist, private/loopback/link-local/meta ; apps/api/src/observation/connectors/sdk.ts; apps/api/src/observation/connectors/http-client.ts; migrations/0022:156; mig ; apps/api/src/observation/connectors/sdk.ts; apps/api/src/observation/sources/source-contract.ts"
F-P1-13,"Collection scheduling, push subscriptions, plans and watchlists",P1,observation; identity-policy,"V3 L1-C03, V03-T-278; V7 DAT-IN-03; V8 ch15 PR-15-*, CAP-OB-05, CAP-OB-10, AT-15, PER-04",V3:2 V7:1 V8:9,B41,A,implementation,A2,F-P1-01; F-P3-13,partial,12,0,3,9,"Cadence-scheduled collection with bounded retry and restart reconciliation (0038-0040, merged via #44)","Push subscriptions and source-event entry (webhooks) alongside polling | Per-source budgets, priorities and escalation; leases across workers | Collection plans, watchlists and saved searches linked to objectives and coverage gaps, with owner, budget and expiry | Human approval of purpose, budget and sensitive targets (PDP rule); pause/narrow stale or over-budget plans | Intelligence-leader role owning priorities and publication",Per-AT journey evidence (AT-15),,,2,4,2,4,,0,0,2027-06-01,"The intelligence leader turns the objective ""secure Regensburg drive-train supply"" into a watchlist on Bab el-Mandeb carriers with a monthly budget; the plan expires and pauses itself when the objective is closed",apps/api/src/observation/scheduling/scheduler.service.ts; apps/api/src/observation/scheduling/collection-worker.service. ; apps/api/src/observation/scheduling/scheduler.service.ts; apps/api/src/observation/sources/upload.controller.ts ; apps/api/src/observation/scheduling/scheduler.service.ts; apps/api/test/int/phase6-scheduled-collection.test.ts
F-P1-14,"Source health, coverage field-of-view and observation operations",P1,observation; ux,"V0 C-014, V00-T-034; V3 L1-C08, L1-I03, L1-I04, V03-T-076/-077/-271/-275; V4 ES-31-008/-009, V04-T-020; V5 AI-39-004; V8 ch10 PR-10-*, CAP-OB-03, AT-10, WS-02, HX-15, FEX-03, FEX-04",V0:2 V3:7 V4:3 V5:1 V8:11,B41,A,implementation,A2,F-P1-01,partial,24,6,18,0,"Nine coverage dimensions, unknown never healthy (coverage.service.ts; phase1-acceptance A6) | ObservationRecorded and SourceHealthChanged published and consumed; source impact markers on forecasts/warnings/packages (0083, PR #60 branch-only)","Product-wide field-of-view model (regional blind spots, licensing exclusions, sampling bias) consumed by forecasts/twins | Distinct health states: silence, access denial, true absence, schema drift, policy restriction | Coverage gaps entering warning/decision packages with consequence and confidence impact | Freshness/coverage SLOs, blind-spot and incident objects with operator workflow; expected arrival and next action | Correction-propagation time and authenticity as governed indicators; continuous degraded-behaviour tests | Freshness/expiry declarations on twins, behaviour models and intelligence products",Per-AT journey evidence (AT-10),,,2,3.5,2,3.5,,0,0,2027-06-01,"The Red Sea port feed goes silent; the operations view distinguishes silence from access denial, and the NORDWERK corridor forecast carries a coverage-loss marker instead of looking healthy","apps/api/src/observation/coverage/coverage.service.ts; apps/api/src/observation/scheduling/scheduler.service.ts; apps/ap ; apps/api/src/observation/fault-injection.ts (F01–F46); test/int/phase1-fault-injection.test.ts; test/int/phase6-schedule ; migrations/0022 (freshness_threshold_seconds, cadence, coverage_measurements, source_health_events, quarantine expires_a"
F-P1-15,"Data products, quality rules and quality SLOs",P1,data-platform; infrastructure; identity-policy; governance-docs,"V0 V00-T-080/-081; V7 ch57 DP-57-001/002/005/006, DADR-020, DQM-007..010, DAT-OP-01, DCN-26, DF-28; V4 TS-012; V10 IR-21-003, V10-T-010, R-10",V0:2 V10:3 V4:1 V7:12,B41,A,implementation,A2,F-P1-14,partial,18,0,14,4,"Source coverage/freshness/completeness/latency measured side by side; schema-drift quarantine (0022, coverage.service.ts) | Source contracts as data-product declarations (0022/0028); customer export package (B11/B13)","Versioned quality-rule service: rule, dimension, scope, threshold, owner, exception, remediation | Validity, accuracy, uniqueness and consistency measurement across assets | Quality SLO objects with attainment; pre-publication quality gates | Degradation declaration and quarantine of affected product scope with consumer notification | Distribution/anomaly tests and slice analysis; derived datasets as data products; lossy-transformation declaration and breaking-change checks",,,,2.5,4,2.5,4,,0,0,2027-06-01,"A uniqueness rule catches duplicated shipment records in the corridor dataset; the product is declared degraded, the Regensburg exposure forecast is held, and the owner clears the exception","apps/api/src/observation/coverage/coverage.service.ts (dimensions reported side by side, unknown never healthy); apps/ap ; apps/api/src/observation/sources/source-contract.ts (authority_and_rights.rights_state, purposes, classification_ceiling ; migrations/0022/0028 source contracts (owner, steward, schema, freshness/coverage expectations, lifecycle); migrations/0"
F-P1-16,"Intake cleaning, deduplication and classification agents",P1,intelligence; observation,"V5 ch41 AI-41-001..003; App B AG-005, AG-006",V5:5,B44,A,implementation,A2,F-P1-03; F-P2-08,partial,5,0,5,0,Upload decoding with type sniffing and formula-risk classification (phase1-hostile-input),"Cleaning agent recording decode/normalize/segment/translate steps and information loss under reversible lineage | Deduplication preserving source instances, syndication and evidentiary independence | Classification agent with confidence and review, separating content labels from security classification",,,,1.5,3,1.5,3,,0,0,2027-04-13,"The same Houthi-attack report syndicated by five outlets is deduplicated into one event with five instances, so the corridor warning does not count it five times",apps/api/src/observation/connectors/upload.connector.ts; apps/api/src/observation/connectors/xml-parse.ts; test/int/phas ; apps/api/src/observation/connectors/upload.connector.ts ; test/int/phase1-hostile-input.test.ts (formula-risk classified; type sniffing)
F-P1-17,Observation infrastructure manifests and profile conformance,P1,infrastructure,"V6 IA-20-002/004/006, IA-21-002/004/006, IA-28-002/004/006, IA-47-002/004/006",V6:12,B109,D,implementation,A3,F-P1-09; F-P1-10; F-P1-12; pkg:P7-D; F-P7D-23,externally-blocked,12,0,0,12,"Local-dev profile (digest-pinned compose, loopback only)","Desired/observed-state infrastructure manifests for streams, edge devices, egress destinations and connectors | SaaS, Private Cloud and On-Premise profiles with shared conformance fixtures | Production admission gates binding replay, device attestation, exfiltration, credential-rotation and tenant-isolation exercises to exact artifacts",,Cloud accounts / private-cloud and on-prem target infrastructure (P7-D),,3,6,2,4,R1,1,2,2027-06-22,none (non-demonstrable on the synthetic tenant: needs the three deployment profiles),"docker-compose.yml (digest-pinned postgres/redis, loopback only, required env, local-dev profile per EXC-P0-004); apps/a"
