feature_id,row_id,observation,disposition
F-P3-06,DAT-TR-09,"MISSING legal-hold service, but 0066 §4 enforces hold precedence",candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-06,DCN-23,"MISSING timer/hold precedence, but 0066 §4 schedules and holds exist",candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-06,DF-27,says no deletion scope resolution; 0066 resolve_scope and 0070 load-bearing-reference pause exist,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-06,V03-T-095,rem says legal_hold never read; stale since 0066 §4,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-07,V00-T-046,MISSING ontology; 0066 §7 graph.ontology_versions + /graph/ontology exist,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-07,V02-T-044,MISSING ontology; 0066 §7,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-07,L4-C01,MISSING ontology registry; 0066 §7,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-07,DP-34-001,MISSING ontology registry; 0066 §7 (vocabulary level),candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-07,DAT-KN-01,MISSING ontology registry; 0066 §7,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-07,CAP-UM-06,MISSING ontology manager; /graph/ontology page exists,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-08,L4-C08,rem says no subscription registry/GraphChanged consumers; 0063-0065 deliver them,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-08,L4-I03,GraphChanged subscriptions exist since 0063,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-08,SC-03,rem says no deterministic projection rebuild; 0080 B20 rebuild,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-13,C-017,says propagation operator-initiated; automatic since 0060,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-14,PR-20-001,rem says no memory workspace; /graph/memory exists,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-14,WS-07@V8,"MISSING memory workspace; /graph/memory exists (0066 §3, B10)",candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-14,WS-07@V9,MISSING memory workspace; /graph/memory exists,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-14,ADR-009,MISSING Enterprise Memory; 0066 §3 memory items + 0079,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-14,V04-T-024,MISSING degraded tests; B20 phase6-graph-projections P1-P9,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
F-P3-15,DF-20,MISSING index withdraw/rebuild; 0080 withdraw_projection/rebuild,candidate — verify against the code and move in the B23 records step (register reconciliation); never moved blindly
