unit_id,statement,condition,source_rows,primary_source,capability_area,mandatory,profiles,evidence_class,status,package,evidence,remaining_work,notes
AU-DEC-0011,"Conditions recorded on an approval are evaluated at commitment and during monitoring; a commitment whose approval conditions are unmet is held, and a breached condition after commitment is routed to its owner.",conditional approvals (decision.approvals.conditions),V8:PR-39-001; V8:CAP-DS-11; V2:V02-T-085; V3:L9-C07; V3:L9-I03; V4:ES-39-007; V4:V04-T-035; V7:DP-40-006; V10:ENT-10; V10:IR-04-003; V10:V10-T-001,V8:PR-39-001,decision,yes,all,harness,open,P6,,"Define the condition grammar on approvals (0042 decision.approvals.conditions), evaluate it in commit_package (0043) and evaluate_conditions (0045); refuse or hold commitment on unmet conditions; harness cases for met/unmet/expired conditions (FULL_PRODUCT_DELIVERY_REGISTER.md §6 'missing').","Every listed row carries 'conditional approvals recorded but not evaluated' as remaining work; the capability, boundary and closed-loop rows are otherwise covered by their own units."
AU-DEC-0012,"The human gate presents the exact proposed act with alternatives, evidence, uncertainty, dissent, policy obligations, expected effects, reversibility and missing information as first-class fields of the package version.",every consequential AI-assisted decision terminates at this gate,V4:ES-42-002; V5:AI-03-001; V5:AI-51-002; V5:AI-64-001,V4:ES-42-002,decision,yes,all,harness,open,P6,"V4:ES-42-002: migrations/0041:195 (options), :242 (dissent), 0049:555 (completeness gate propose_version); apps/web/app/decisions; test/int/phase6-decisions.test.ts:111,164","Add reversibility, expected_effects and missing_information as validated fields on decision.package_versions (today reversibility/second_order/information_value are free text); render them at the approval step; harness: proposal refused when a consequential option lacks expected effects or reversibility.","AI-51-002 (status quo, counter-evidence, trade-offs) and AI-64-001 (counter-evidence, sensitivities, model/agent roles, limitations) extend the gate content; status quo option is the option-generation unit."
AU-DEC-0013,"Each human gate identifies the accountable role, delegated authority, required independence, the information package, permitted actions, a deadline and an escalation path.",consequential state transitions,V3:V03-T-230; V3:L9-C07,V3:V03-T-230,decision,yes,all,harness,open,P6,"V3:V03-T-230: migrations/0042:100,118 (eligibility, quorum)","Add deadline and escalation (principal, after) to the approval gate (0042 approver_policy) with a scheduler tick that escalates overdue gates; declare the information package (cited version digest); harness: overdue gate escalates once to the named principal.",L9-C07 REM: no approval deadlines/escalation.
AU-DEC-0014,"The human decision record binds approver, authority, information boundary (digest), exact choice, rationale, reservations, obligations, time and downstream commitment state.",at approval and at commitment,V0:V00-T-024; V8:JRN-17; V3:V03-T-231; V5:AI-03-004,V0:V00-T-024,decision,yes,all,harness,open,P6,test/int/phase6-approvals.test.ts (approval signs the digest read; quorum of distinct humans; revocation append-only); migrations/0042_decision_approvals_and_commitment.sql,"Add rationale, reservations and obligations to decision.approvals and to commit_package; participants who reviewed without approving (room members, 0044) must be listed on the record; harness: record without rationale refused.","Conflict kept: V3 auditor marked V03-T-231 implemented while V5 auditor marked AI-03-004 partial (rationale, reservations, overrides, obligations absent); the record today carries digest, actor, conditions and dissent only."
AU-DEC-0015,"A pending gate is invalidated when its context changes: AI cannot broaden scope, alter the approved effect, select the approving human or execute an approval-required effect after the gate context changed; stale or withdrawn inputs are exposed and block approval.","any change of package version, cited record or approver policy while approval is pending",V3:V03-T-163; V5:AI-03-003,V3:V03-T-163,decision,yes,all,harness,verified:local,R0,"migrations/0042:186 (stale-context approval block); test/int/phase6-decisions.test.ts: 'a new version never carries the choice; proposing it supersedes the earlier proposal'; test/int/phase6-review-corrections.test.ts:110,133; test/int/phase6-agents.test.ts (decision agent holds one draft write)","Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter. AI-03-003 REM: add an explicit invalidation event of a pending gate on context change (today the stale-context check runs at the approval port).",
AU-DEC-0016,"When authority is stale or conflicted, the digest changes, required reviewers are absent, approval is ambiguous, or commitment creation partially fails, the transition is invalidated or held, the attempted decision and evidence are preserved, re-review is required and commitments are reconciled before closure; unavailable, stale or unapproved state is never shown as current and complete.","chapter 39 failure conditions incl. no named authority, incomplete mandatory evidence, SoD conflict, policy denial, material input change during review",V8:PR-39-005; V8:FEX-16; V3:V03-T-367; V4:ES-39-009; V4:V04-T-036,V8:PR-39-005,decision,yes,all,harness,open,P6,"test/int/phase6-approvals.test.ts: 'revocation ... breaks quorum', 'expiry ends an approval', 'two authorities commit concurrently and exactly one'; migrations/0041:555; 0042:100,186,190; apps/web/components/ui.tsx (TruthBadge, LifecycleBadge, DegradedBanner)","Fault-injection traces per declared degraded behaviour (V04-T-036: watermark, consumer behaviour, operator action, recovery, reconciliation evidence); model 'option not executable'; dedicated tests for deferral/RFI paths and agent self-approval prevention as degraded behaviours.","Verified sub-conditions (stale authority, digest change, concurrent commit) are named in the evidence; partial-effect recovery is its own unit."
AU-DEC-0017,"A commitment whose side effects partially complete stays workflow non-terminal with completed and residual effects, owners and compensation recorded; only contained operations continue until effects are reconciled and the authority closes it.",commitment partial effect,V8:FEX-18; V8:PR-39-005,V8:FEX-18,decision,yes,all,harness,open,P6,,"Add partial-effect state to commitments (0043): completed/residual effect records, owners, compensation actions; closure requires reconciliation; harness with a simulated failed effect (commitments have no external effects yet, so bind to the execution handoff unit).",PR-39-005 REM: partial-effect recovery is not exercised because commitments have no external effects.
AU-DEC-0018,Approval and commitment are signed non-repudiably (cryptographic or equivalent signature beyond the audit chain) and signature verification is demonstrable.,JRN-17 'sign' stage,V8:JRN-17; V8:PR-39-002; V8:CAP-DS-11; V8:PR-39-006,V8:JRN-17,decision,yes,all,harness,open,P6,,"Bind each approval/commitment record to a signature over the digest by the acting human principal's key (or an equivalent attestation bound to the identity provider), store it, and add a verification port + harness case; today the record is only audit-chained.",PR-39-002 lists 'signature' among persisted fields; PR-39-006 requires signature verification in acceptance.
AU-DEC-0019,After commitment the decision record is distributed to the accountable recipients with receipts (JRN-17 'distribute').,committed packages,V8:JRN-17,V8:JRN-17,decision,yes,all,harness,open,P6,,"Add a distribution step on commitment (recipients from room members/action owners, delivery receipt) reusing the publication object of the executive OS.",Depends on AU-EXO publication/receipt units.
AU-DEC-0020,"Creating a commitment requires an approved decision or authority; exactly one commitment lands when two authorities commit concurrently; the CMT object (owner, deadline, conditions, evidence) is written into the strategy graph resting on the DEC, and after commitment nothing reopens without a governed transition.",C3 commitment,V8:OBJ-36; V3:L9-I04; V3:L9-C08; V3:CMT; V5:AI-51-005,V8:OBJ-36,decision,yes,all,harness,verified:local,R0,"migrations/0043:33 (commit_package); 0045:74 (evaluate_conditions); test/int/phase6-approvals.test.ts:141,154: 'the bounded CMT lands in Phase 3's own graph, as a CMT@v1 object, resting on the DEC', 'two authorities commit concurrently and exactly one', 'after commitment nothing reopens'; test/int/phase6-replay.test.ts:76","Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter.","L9-I04 DecisionCommitted activates commitments, monitoring conditions and the replay snapshot (verified); execution handoff is the open execution-interface unit. CMT fields resources/obligations/execution state/closure criteria are the next unit."
AU-DEC-0021,"A commitment binds the approved option to owners, resources, obligations, milestones, indicators, review cadence, execution interfaces and closure criteria.",37.6 create commitments,V0:V00-T-063; V3:V03-T-362; V3:CMT,V0:V00-T-063,decision,yes,all,harness,open,P6,"V3:V03-T-362: migrations/0043:33; migrations/0045:74 (conditions); test/int/phase6-approvals.test.ts:141,154","Extend decision.commitments (0043) with resources, obligations, milestones, execution_interface and closure_criteria (validated objects, not text); harness: commitment without closure criteria refused; CMT graph object carries them.",V00-T-063 'actions' on the decision object are covered here and by the forward-chain unit.
AU-DEC-0022,"External execution of a commitment requires a separately governed commitment and execution interface: commands carry stable idempotency keys, transitions commit with causation and audit, and external side effects use a governed outbox, callback or reconciliation pattern proving intent, execution, rejection and residual uncertainty.","external side effects; retries, duplicates, partial failures, delayed events and human latency assumed",V0:C-050; V3:V03-T-366; V3:V03-T-236; V3:L9-C08,V0:C-050,decision,yes,all,harness,open,P7-A,"migrations/0015; apps/api/src/objects/outbox.publisher.ts:74-96; migrations/0022:322-347; test/int/gate22-outbox-hardening.test.ts (outbox retry/lease, exactly-once completion)","Design the execution gateway: commitment -> execution request (idempotency_key used, today unused on the envelope) -> outbox -> adapter with receipt/callback -> reconciliation record; no external effect may dispatch without the C3 record; harness with a fake adapter proving intent/execution/rejection/residual states.","V03-T-236 row assigned R0 by the V3 auditor; reconciled to P7-A because the gap is an unbuilt external-effect path, not a merge blocker. C-050 condition: the high-impact boundary must be encoded before any external effect exists."
AU-DEC-0023,"Closing a commitment requires completion and outcome evidence, a reviewer co-sign, and records the deliverable, verification and exceptions.",commitment owner and reviewer,V8:OBJ-37,V8:OBJ-37,decision,yes,all,harness,open,P6,test/int/phase6-monitoring.test.ts: 'closure records the lessons as text on the outcomes; nothing reopens',"Add reviewer co-sign (distinct from owner), deliverable, verification and exception records to close_package (0045); harness: closure by owner alone refused.",
AU-DEC-0024,"A decision package is a first-class, append-only versioned object persisting question/title, owner, deadline, objectives (OBJs), constraints, options, cited evidence/runs/forecasts, risks, opportunities, accepted trade-offs, dissent, approvals with conditions, monitoring conditions and outcome criteria, with identity, owner, effective time, status, provenance and policy explicit; its state machine is draft, proposed, under_review, approved, committed, monitoring, closed.",all profiles; Phase 6 branch,V0:V00-T-063; V8:PR-38-002; V8:PR-39-002; V2:V02-T-084; V2:V02-T-168; V2:V02-T-090; V2:V02-T-095; V3:DEC; V3:L9-C01; V3:ADR-0015; V4:ES-39-001; V4:ES-39-006; V7:DP-40-001; V7:DP-40-002,V0:V00-T-063,decision,yes,all,harness,verified:local,R0,"migrations/0041_decision_packages.sql:45-92 (state machine), :137 (immutability trigger), :195 (options), :242 (dissent); 0042; 0045; 0006 (identity, owner, times, status, provenance, policy); test/int/phase6-decisions.test.ts:111,164,179: 'a new version carries the terms and options forward but NEVER the choice'; e2e/phase6-decisions.demo.spec.ts: 'DECISIONS: the committed package shows its state, SYNTHETIC consequences, the choice, dissent, approvals and the C3 commitment'; test/int/phase6-approvals.test.ts: 'after commitment nothing reopens'","Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter.","Fields absent from the object (stakeholders, actions, distinct recommendation, evaluated constraints/trade-offs, forecast/scenario binding) are the next units; ES-39-001 override state and VoI free text are the override and VoI units. DP-40-001/002/003 (Volume 7) are the data-platform statement of the same packages."
AU-DEC-0025,"The decision object additionally declares stakeholders, actions, obligations, timing and reversibility as validated fields, and persists trade-off and constraint records and risk/opportunity objects rather than free text.",37.1 frame the decision,V0:V00-T-063; V0:C-005; V8:PR-38-002; V8:JRN-16; V3:V03-T-357; V3:DEC,V0:V00-T-063,decision,yes,all,harness,open,P6,V3:V03-T-357: migrations/0041:65; apps/api/src/decision/packages/package.service.ts; test/int/phase6-decisions.test.ts:111,"Add stakeholders (principals/roles with obligations), actions, timing and reversibility fields; make constraints, trade-offs, risks and opportunities typed records with evidence refs and owners; completeness gate requires them for C3; JRN-16 risk stage renders them.",C-005 REM: risks and opportunities are free-text arrays. JRN-16 REM: risk stage absent.
AU-DEC-0026,"OpenDecision declares question, accountable authority, scope, objectives, options, stakeholders and required evidence, and creates the package in draft state.",package owner,V3:L9-I01,V3:L9-I01,decision,yes,all,harness,verified:local,R0,apps/api/src/decision/decision.controller.ts; apps/api/src/decision/packages/package.service.ts; migrations/0041:65; test/int/phase6-decisions.test.ts:111,"Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter. Stakeholders and required-evidence declarations are the object-fields unit.",
AU-DEC-0027,"A decision is opened with a declared scope and deadline by a named authority, a delegated workflow, a material warning, a commitment review, a scenario threshold or a strategic cadence.",triggers other than the owner's manual opening,V3:V03-T-369,V3:V03-T-369,decision,yes,all,harness,open,P6,V3:V03-T-369: migrations/0041:65; test/int/phase6-decisions.test.ts:111,"Add decision_deadline at open (today only on the choice); add triggers that open a package from a warning (0029), a monitoring breach/commitment review (0045), a scenario threshold and a room cadence (0044), recording the trigger on the package.",
AU-DEC-0028,"The option set includes status quo, defer, stage, pilot, acquire information, hedge, partner and exit alternatives where relevant, with dependencies and execution readiness identified, and the completeness gate requires the status-quo/defer/seek-information alternatives.",37.2 develop viable options,V0:V00-T-064; V0:C-024; V3:V03-T-358; V3:L9-C03; V5:AI-51-002; V5:AI-51-001,V0:V00-T-064,decision,yes,all,harness,open,P6,migrations/0041:195; 0049:18 (decision.derive_option); test/int/phase6-decisions.test.ts:164 (options declared by the owner or drafted by the decision agent),"Add option kinds (status_quo, defer, stage, pilot, acquire_information, hedge, partner, exit, act) and dependency/execution-readiness fields; completeness gate requires status quo and defer (or a recorded reason); decision agent drafts them; harness cases.",
AU-DEC-0029,"Options are assessed against explicit objectives and constraints by an inspectable criteria, trade-off and information-value engine that exposes weights and sensitivity; no opaque global score exists.",37.4 compare and recommend,V0:V00-T-064; V0:C-026; V0:C-024; V2:V02-T-083; V3:V03-T-160; V3:L9-C05; V3:V03-T-360; V1:V01-T-017,V0:V00-T-064,decision,yes,all,harness,open,P6,"migrations/0041 (criteria text on options); test/int/phase6-decisions.test.ts: 'terms: objectives are OBJs, approvers are named humans or registered roles, conditions name what exists'; no global score exists anywhere","Implement the criteria/trade-off/VoI engine as a versioned method: declared criteria with weights, per-option scores with lineage to cited records, sensitivity to weight changes, robustness and failure conditions; persist results per version; UI exposes weights; harness reproduces scores from stored inputs.",
AU-DEC-0030,"Stakeholder obligations, risk appetite and policy constraints are declared objects evaluated against every option, and dependencies and timing are compared explicitly.",recommendation evaluation,V0:C-026; V2:V02-T-169; V2:V02-T-083; V3:L9-C02; V1:V01-T-017,V0:C-026,decision,yes,all,harness,open,P6,V3:L9-C02: migrations/0024:478 (strategy OBJ objects); migrations/0041 (constraints/obligations as text),"Add obligation and risk-appetite objects (owner, scope, threshold, evidence) and a constraint evaluator that marks each option's compliance; citation kind for obligations; harness: option violating a declared constraint is flagged and cannot be chosen without an override record.",
AU-DEC-0031,"Second-order effects, value of information and reversibility are validated fields with evidence, not free text.",package versions,V0:C-024; V3:ADR-0015; V4:ES-39-001; V4:ES-42-002,V0:C-024,decision,yes,all,harness,open,P6,,"Replace free-text second_order/information_value/reversibility with structured records (effect, affected objective/twin element, evidence ref, confidence); validate on propose.",
AU-DEC-0032,"Every option's consequences cite completed simulation runs, forecasts or claims by exact version and digest; a citation naming nothing readable is refused; options must rest on one common control baseline; inputs to the package are authenticated, authorized, schema-valid, temporally explicit, provenance-bearing, quality-marked and admitted before decision-active use.",propose_version completeness gate,V0:V00-T-018; V8:PR-38-001; V8:CAP-DS-09; V2:V02-T-169; V2:V02-T-006; V3:L9-C04; V4:ES-39-005; V7:DP-40-001,V0:V00-T-018,decision,yes,all,harness,verified:local,R0,"migrations/0041:222 (dop_simulated_cites_run); 0049:555 (completeness gate); test/int/phase6-decisions.test.ts: 'an option on a completed run binds version and digest, is SIMULATED, and carries uncertainty', 'one common baseline: options whose simulated consequences rest on different control runs are refused at proposal', 'refuses a citation that names nothing readable, a non-run consequence without an unsimulated reason'; apps/api/src/policy/pdp.service.ts (default DENY); test/unit/pdp.test.ts","Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter. Forecast/scenario/risk/prior-decision binding is the assembly unit; recommendation review is its own unit.",
AU-DEC-0033,"Assembling intelligence resolves evidence, graph, memory, twin state, forecasts, scenarios, simulations, risks, opportunities and prior decisions into the package's information boundary, and assumptions are declared on the package rather than only through cited forecasts.",37.3 assemble intelligence,V0:V00-T-018; V3:V03-T-359; V3:L9-C04; V3:L9-C01; V3:DEC; V3:ADR-0015; V5:AI-51-002,V0:V00-T-018,decision,yes,all,harness,open,P6,migrations/0041:222; 0043:178 (replay_layers bind what is cited),"Extend citation kinds to FCT/SCN branches, twin snapshots, WRN, prior DEC and ASU objects with exact version binding at propose; declare package-level assumptions; replay 'believed' layer resolves them.",
AU-DEC-0034,"A proposal is refused while the choice is missing; the choice names an option, a human owner, a deadline and measurable outcome criteria; DecisionPackageReady publishes the complete reviewable package with uncertainty, alternatives, dissent and provenance; commitment is blocked when mandatory evidence or approval is missing.",completeness gate at propose and commit,V2:V02-T-085; V3:L9-I02; V3:V03-T-162,V2:V02-T-085,decision,yes,all,harness,verified:local,R0,"migrations/0041:555 (propose_version completeness gate); 0043:33; test/int/phase6-decisions.test.ts:225,268: 'the proposal is refused while the choice is missing', 'the choice names an option, a human owner, a deadline and measurable outcomes'; test/int/phase6-approvals.test.ts:141","Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter. Conditional approvals (V02-T-085 REM) are the conditions unit.",
AU-DEC-0035,"An independent reviewer (not the author) marks a package decision-ready, and the marking requires completeness and a fresh digest.",chapter 38 decision-ready gate,V8:OBJ-32; V8:PR-38-003; V8:CAP-DS-09,V8:OBJ-32,decision,yes,all,harness,open,P6,test/int/phase6-decisions.test.ts: 'PROPOSE binds the version ... the digest an approval will sign' (proposal is by the owner),"Add a decision_ready transition executed by a reviewer principal distinct from owner/author, validating completeness and digest freshness; PDP action; harness: owner cannot mark own package ready.",
AU-DEC-0036,"When a package is incomplete, evidence stale, explanation unsupported, alternatives missing, conflicts undisclosed or the recommendation exceeds authorized scope, decision-ready status is blocked, the gap exposed, drafts and dissent preserved, remediation or explicit human deferral required, and a human-led analysis mode without recommendation is available; incomplete state is never shown as complete.",chapter 38 continuity,V8:PR-38-005; V8:FEX-15; V3:V03-T-367,V8:PR-38-005,decision,yes,all,harness,open,P6,"test/int/phase6-decisions.test.ts: 'the proposal is refused while the choice is missing', 'refuses a citation that names nothing readable, a non-run consequence without an unsimulated reason'; apps/web/components/ui.tsx (DegradedBanner, TruthBadge, LifecycleBadge)","Add the FEX-15 mode: a package can be marked 'human-led, no recommendation' and continue review with the gap exposed instead of refusal; explicit human deferral record; conflict-of-interest disclosure field; fault test for each listed condition.","PR-38-005 is implemented as refusal at propose; the FEX-15 degraded mode and deferral are missing, so the unit stays open."
AU-DEC-0037,"Alternatives and dissent are retained: options are append-only and carried forward across versions, dissent is recorded by named humans on their own behalf before commitment and is append-only, a new version never carries the prior choice, and controlled iteration preserves every prior state and reason for change.",all package versions,V0:V00-T-029; V8:PR-38-003; V2:V02-T-086; V3:V03-T-159; V3:V03-T-364; V5:AI-37-004,V0:V00-T-029,decision,yes,all,harness,verified:local,R0,"migrations/0041:137,195,242 (dop_append_only; dissent humans only); 0047; test/int/phase6-decisions.test.ts:179: 'a named human dissents on their own behalf, before commitment; the record is append-only', 'a new version carries the terms and options forward but NEVER the choice'; migrations/0034/0035 invalidation walk; test/int/phase2-acceptance.test.ts: B2","Merge PR #46 (phase6-decisions, migrations 0041-0050) to main behind C15/C16/C17; re-run the named suite on the merged head; cross-profile demonstration is carried by the parity unit of the same chapter. Missing-evidence markers (V03-T-364 REM) are the next unit.","AI-37-004 (edits/overrides/dismissals captured as accountable state, never unlabeled training feedback) holds by construction and by B2/dissent tests."
AU-DEC-0038,"The package states what could make the recommendation wrong and which evidence is missing, and missing-evidence markers remain visible alongside alternatives, dissent and uncertainty.",recommendation contract,V0:V00-T-065; V3:V03-T-364; V4:ES-42-002; V5:AI-51-002,V0:V00-T-065,decision,yes,all,harness,open,P6,,Add falsification_conditions and missing_evidence structured fields on the version (and on agent option cards); render them in the decision page and the approval gate; harness: C3 proposal without them refused.,
