id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes
IR-03-003,V10,3 Category Definition,17,"Buyers and independent analysts must consistently distinguish the category from BI, search, copilots, point intelligence products, and general-purpose AI platforms.",V10-F001,commercial,missing,not-applicable,none,not-applicable,P7-F,,"Business/issuer validation (finance, legal, board, customers); no product behaviour to build",business assumption to validate; never an achieved outcome; Appendix N boundary: Category comprehension
IR-03-004,V10,3 Category Definition,17,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-04-001,V10,4 Closed Strategic Loop,19,Represent Closed Strategic Loop only within the declared claim class and scope,V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-04-002,V10,4 Closed Strategic Loop,19,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-04-003,V10,4 Closed Strategic Loop,19,A governed production journey must demonstrate state propagation from source evidence through an authorized human decision and into decision replay.,V10-F001,decision,implemented,passed:harness+browser,branch-only,phase6,R0,apps/api/migrations/0041_decision_packages.sql;apps/api/migrations/0042_decision_approvals_and_commitment.sql;apps/api/migrations/0043_decision_replay.sql;apps/api/migrations/0045_decision_monitoring_and_outcomes.sql;test/int/phase6-decisions.test.ts;test/int/phase6-approvals.test.ts;test/int/phase6-replay.test.ts: known / believed / tested hold only what was recorded under the cut-offs;test/int/phase6-monitoring.test.ts: the chosen run's exact output becomes a SIMULATED element; the outcomes upload becomes an OBSERVED element;e2e/phase6-decisions.demo.spec.ts: DECISIONS / REPLAY / BRIEFINGS;evidence/demo-virgin-transcript.txt,"Merge #46 behind C15/C16/C17 (util-linux image finding, FULL_PRODUCT_DELIVERY_REGISTER.md §4); run the journey on a production profile rather than the fresh local deployment of 2026-09-09; conditional approvals are recorded but not evaluated (register §6)",state propagation source→claim→graph→forecast/scenario→twin/simulation→package→approval→commitment→outcome→replay is exercised at the harness; main ends at migration 0027 (Phase 3); Phases 4–6 and scheduled collection are unmerged branches behind the C15 image finding; Appendix N boundary: End-to-end journey success
IR-04-004,V10,4 Closed Strategic Loop,19,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-05-001,V10,5 Why Now,21,Represent Why Now only within the declared claim class and scope,V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-05-002,V10,5 Why Now,21,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-05-003,V10,5 Why Now,21,"Demand must be evidenced through funded programs, production urgency, regulatory obligations, and executive sponsorship rather than broad interest in AI.",V10-F001,commercial,missing,not-applicable,none,not-applicable,P7-F,,"Business/issuer validation (finance, legal, board, customers); no product behaviour to build",business assumption to validate; never an achieved outcome; Appendix N boundary: Funded strategic programs
IR-05-004,V10,5 Why Now,21,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-06-001,V10,6 Long-Horizon Outcome,23,Represent Long-Horizon Outcome only within the declared claim class and scope,V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-06-002,V10,6 Long-Horizon Outcome,23,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-06-003,V10,6 Long-Horizon Outcome,23,"Longitudinal evidence must show improved preparedness, decision quality, and institutional continuity across multiple cycles and decision types.",V10-F001,commercial,missing,not-applicable,none,not-applicable,P7-F,,"Business/issuer validation (finance, legal, board, customers); no product behaviour to build",business assumption to validate; never an achieved outcome; Appendix N boundary: Preparedness improvement
IR-06-004,V10,6 Long-Horizon Outcome,23,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F001,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-07-001,V10,7 Customer Universe,26,Represent Customer Universe only within the declared claim class and scope,V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-07-002,V10,7 Customer Universe,26,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-07-003,V10,7 Customer Universe,26,"Initial segments must demonstrate repeatable decision archetypes, sufficient economic value, feasible data access, and an accountable sponsor.",V10-F002,commercial,missing,not-applicable,none,not-applicable,P7-F,,"Business/issuer validation (finance, legal, board, customers); no product behaviour to build",business assumption to validate; never an achieved outcome; Appendix N boundary: Segment qualification
IR-07-004,V10,7 Customer Universe,26,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-08-001,V10,8 Consequential Decision Archetypes,28,Represent Consequential Decision Archetypes only within the declared claim class and scope,V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-08-002,V10,8 Consequential Decision Archetypes,28,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-08-003,V10,8 Consequential Decision Archetypes,28,"Each lighthouse must define the decision owner, baseline, trigger, alternatives, evidence standard, outcome method, and replay horizon before configuration begins.",V10-F002,commercial,missing,not-applicable,none,not-applicable,P7-F,,"Business/issuer validation (finance, legal, board, customers); no product behaviour to build",business assumption to validate; never an achieved outcome; the archetype record fields map to decision packages (0041/0045); see DA-01…DA-30; Appendix N boundary: Archetype reuse
IR-08-004,V10,8 Consequential Decision Archetypes,28,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-09-001,V10,"9 Buyers, Champions, and Human Authorities",30,"Represent Buyers, Champions, and Human Authorities only within the declared claim class and scope",V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-09-002,V10,"9 Buyers, Champions, and Human Authorities",30,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-09-003,V10,"9 Buyers, Champions, and Human Authorities",30,"Opportunity qualification must identify authority, budget, decision calendar, data rights, deployment boundary, and an agreed route to production.",V10-F002,commercial,missing,not-applicable,none,not-applicable,P7-F,,"Business/issuer validation (finance, legal, board, customers); no product behaviour to build",business assumption to validate; never an achieved outcome; Appendix N boundary: Authority-map completeness
IR-09-004,V10,"9 Buyers, Champions, and Human Authorities",30,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-10-001,V10,10 Lighthouse Use Cases,32,Represent Lighthouse Use Cases only within the declared claim class and scope,V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-10-002,V10,10 Lighthouse Use Cases,32,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-10-003,V10,10 Lighthouse Use Cases,32,"A lighthouse exits only when the production journey, control evidence, user acceptance, outcome method, commercial contract, and expansion map are complete.",V10-F002,commercial,missing,not-applicable,none,not-applicable,P7-F,,"Business/issuer validation (finance, legal, board, customers); no product behaviour to build",business assumption to validate; never an achieved outcome; Appendix N boundary: Time to production
IR-10-004,V10,10 Lighthouse Use Cases,32,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-11-001,V10,11 Market Opportunity Model,34,Represent Market Opportunity Model only within the declared claim class and scope,V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-11-002,V10,11 Market Opportunity Model,34,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-11-003,V10,11 Market Opportunity Model,34,"Account counts, buyer eligibility, ACV bands, procurement capacity, overlap, and achievable penetration require issuer and third-party validation before external reliance.",V10-F002,commercial,missing,not-applicable,none,not-applicable,P7-F,,"Business/issuer validation (finance, legal, board, customers); no product behaviour to build",business assumption to validate; never an achieved outcome; Appendix N boundary: Named-account coverage
IR-11-004,V10,11 Market Opportunity Model,34,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-12-001,V10,12 Regulatory and Sovereignty Tailwinds,36,Represent Regulatory and Sovereignty Tailwinds only within the declared claim class and scope,V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-12-002,V10,12 Regulatory and Sovereignty Tailwinds,36,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-12-003,V10,12 Regulatory and Sovereignty Tailwinds,36,"Counsel and control owners must map exact product functions, customer roles, jurisdictions, and dates to each obligation before any compliance representation.",V10-F002,commercial,missing,not-applicable,none,not-applicable,P7-F,,"Business/issuer validation (finance, legal, board, customers); no product behaviour to build",business assumption to validate; never an achieved outcome; control-to-obligation mapping (Appendix K) is P7-D work; the product makes no compliance representation; Appendix N boundary: Control-to-obligation mapping
IR-12-004,V10,12 Regulatory and Sovereignty Tailwinds,36,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F002,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-13-001,V10,13 Product System,39,Represent Product System only within the declared claim class and scope,V10-F003,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-13-002,V10,13 Product System,39,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F003,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-13-003,V10,13 Product System,39,"A reference journey must traverse the relevant layers with stable identity, temporal state, provenance, permissions, observability, and exportability.",V10-F003,data-platform,partial,passed:harness+browser,branch-only,phase7,P7-D,"packages/contracts (canonical object envelope: id, type, tenant, version, provenance, truth state);apps/api/migrations/0006_objects.sql;apps/api/migrations/0024_graph_entities_edges_and_strategy.sql;e2e/phase0.spec.ts: 6. known-at query returns the pre-correction state (UI);e2e/phase1-observation.spec.ts: 7. evidence custody, the four times, and a safe attachment-only download;test/int/domain-isolation.test.ts;apps/api/migrations/0041_decision_packages.sql;apps/api/migrations/0042_decision_approvals_and_commitment.sql;apps/api/migrations/0043_decision_replay.sql;apps/api/migrations/0045_decision_monitoring_and_outcomes.sql;test/int/phase6-decisions.test.ts;test/int/phase6-approvals.test.ts;test/int/phase6-replay.test.ts: known / believed / tested hold only what was recorded under the cut-offs;test/int/phase6-monitoring.test.ts: the chosen run's exact output becomes a SIMULATED element; the outcomes upload becomes an OBSERVED element;e2e/phase6-decisions.demo.spec.ts: DECISIONS / REPLAY / BRIEFINGS;evidence/demo-virgin-transcript.txt","No observability planes (no metrics/telemetry endpoint; grep prometheus/opentelemetry = 0) and no customer export of the journey objects (no export endpoint): Phase 7 observability and packaging (P7-D), export/exit (P7-F)","identity, temporal state, provenance and permissions hold across L1–L9 at the harness; main ends at migration 0027 (Phase 3); Phases 4–6 and scheduled collection are unmerged branches behind the C15 image finding; Appendix N boundary: Layer-contract conformance"
IR-13-004,V10,13 Product System,39,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F003,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-14-001,V10,14 World Observation to Intelligence,41,Represent World Observation to Intelligence only within the declared claim class and scope,V10-F003,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-14-002,V10,14 World Observation to Intelligence,41,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F003,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-14-003,V10,14 World Observation to Intelligence,41,"Production proof includes source-rights review, freshness and completeness measures, identity resolution quality, event precision, and source-to-claim reconstruction.",V10-F003,observation,partial,passed:harness,merged,phase7,P7-B,"apps/api/src/observation/sources/source-contract.ts (authority_and_rights.rights_state, purposes, classification_ceiling, freshness_expectation, correction_channel);apps/api/migrations/0022_observation_registry_and_evidence.sql (custody, tombstones);test/int/phase1-acceptance.test.ts: A1 the registered contract carries the complete §7 field set; A2 chain of custody and byte-identical retrieval; a retrieval writes its custody entry;test/int/domain-isolation.test.ts;test/int/phase6-scheduled-collection.test.ts;test/int/phase1-acceptance.test.ts: A6 coverage, health, and the honesty of unknown;test/int/phase3-acceptance.test.ts: the entity records WHICH resolved, WHEN, BY WHAT SCORE and under WHAT rule;test/int/phase2-acceptance.test.ts: B1 claims carry method, model, version, confidence and evidence lineage;e2e/phase1-observation.spec.ts: 10. a known-at query reproduces the pre-correction state","No measured identity-resolution quality or event-extraction precision against held-out datasets (Phase 7 evaluation, P7-B; P2 multilingual extraction); rights review is a contract field with a steward, not a legal sign-off workflow (P1)",Appendix N boundary: Source freshness
IR-14-004,V10,14 World Observation to Intelligence,41,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F003,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-15-001,V10,15 Knowledge Graph and Enterprise Memory,43,Represent Knowledge Graph and Enterprise Memory only within the declared claim class and scope,V10-F003,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-15-002,V10,15 Knowledge Graph and Enterprise Memory,43,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F003,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-15-003,V10,15 Knowledge Graph and Enterprise Memory,43,"Proof requires temporal identity, bitemporal history, provenance, access control, correction, export, and query performance at representative scale.",V10-F003,memory-graph,partial,passed:harness,merged,phase7,P3,"apps/api/migrations/0024_graph_entities_edges_and_strategy.sql;apps/api/migrations/0026_edge_supersession_and_case_coverage.sql;apps/api/src/graph/entities/resolution.service.ts;apps/api/src/graph/search/search.service.ts (permission-aware search under RLS);test/int/phase3-acceptance.test.ts: resolves differently spelled mentions of the same identifier to ONE entity; C3 a wrong merge is reversible, and history survives it; a known-at query BEFORE the split still reproduces the merged view;test/int/domain-isolation.test.ts","No graph export (no export endpoint), no representative-scale query-performance test (no load tooling in the repository), no semantic/vector retrieval (grep embedding = 0), bitemporal history is known-at on edges and resolutions only: P3 hybrid retrieval, P7-D capacity, P7-F export",Appendix N boundary: Resolved entity quality
IR-15-004,V10,15 Knowledge Graph and Enterprise Memory,43,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F003,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-16-001,V10,16 Digital Twins and Six-Horizon Prediction,45,Represent Digital Twins and Six-Horizon Prediction only within the declared claim class and scope,V10-F004,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-16-002,V10,16 Digital Twins and Six-Horizon Prediction,45,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F004,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
IR-16-003,V10,16 Digital Twins and Six-Horizon Prediction,45,"Each twin and horizon requires declared purpose, validity envelope, calibration, uncertainty, drift monitoring, expert review, and decision-use acceptance.",V10-F004,prediction,partial,passed:harness+browser,branch-only,phase7,P4,"apps/api/migrations/0029_prediction_forecasts_scenarios_warnings_outcomes.sql (horizon_code 30d/90d/180d/1y/3y/5y; backtests; outcome_ledger);apps/api/migrations/0032_twin_registry.sql (twins_current.validation status+limitations; behaviour_models.operating_envelope; intended_decisions);apps/api/migrations/0033_simulation_runs.sql (sensitivity required on completed runs; reproductions verdict);test/int/phase4-acceptance.test.ts: D1 a forecast names distribution, horizon, drivers, assumptions and evidence — or is refused; D4 an outcome is scored from the observation known at the target, and calibration reports it;test/int/phase5-twins.test.ts: declares the twin, asserted by a person, with its boundary, model and limitations;test/int/phase5-simulations.test.ts: the same process reproduces the digest; when the pinned implementation is no longer the one the run recorded, the verdict is UNREPRODUCIBLE;e2e/phase4-prediction.demo.spec.ts: the calibration screen labels every backtest with its knowledge mode; TWINS: the NORDWERK twin shows its synthetic world, two cut-offs, element kinds and health","No drift monitoring for twins or forecast models (Phase 7 evaluation, P7-B); expert review is an owner-declared validation status, not a review workflow; calibration measured on demo series only — 3y/5y horizons unmeasured (T3); one twin family (supply-flow) exists (P5)",Appendix N boundary: Twin state fidelity; main ends at migration 0027 (Phase 3); Phases 4–6 and scheduled collection are unmerged branches behind the C15 image finding
IR-16-004,V10,16 Digital Twins and Six-Horizon Prediction,45,"Expire, withdraw and replace affected claims when evidence or assumptions change materially",V10-F004,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Correction route (owner, distribution list, withdrawal, replacement, receipt) exists outside the product; none is recorded in the repository","claim-control obligation on the investor package, not product behaviour; cross-volume REL-19, DR-20"
IR-17-001,V10,"17 Scenario, Simulation, and Decision Intelligence",47,"Represent Scenario, Simulation, and Decision Intelligence only within the declared claim class and scope",V10-F004,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,"Claim-register entry for this chapter (exact wording, class FROZEN, owner approval) does not exist in the repository; maintain it in the P7-F claim-to-evidence register","claim-control obligation on the investor package, not product behaviour; cross-volume REL-14, DR-20"
IR-17-002,V10,"17 Scenario, Simulation, and Decision Intelligence",47,"Prevent architecture or planning language from implying actual product, customer or financial status",V10-F004,governance-docs,missing,not-applicable,none,not-applicable,P7-F,,Finance and legal review of the chapter wording before external use; no product behaviour,"claim-control obligation on the investor package, not product behaviour; cross-volume REL-08"
