id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes,source_ref,evidence_scope
C-017,V0,App C / ch.11 Strategy Graph,App C (after PARA 401),"Objectives, hypotheses, decisions, initiatives, capabilities, resources, indicators, risks, opportunities, and outcomes shall be connected in a governed Strategy Graph anchored to the Knowledge Graph.",V00-F017,memory-graph,partial,passed:harness,branch-only,phase3,P3,"migrations/0024 graph.strategy_current (OBJ, ASU, DEC, CMT, OUT) + graph.dependencies; migrations/0025/0034 invalidation walk to affected objectives/scenarios/twins/simulations; migrations/0029 (forecasts depend on ASUs, indicators); migrations/0045 record_outcome writes OUT; test/int/phase6-monitoring.test.ts: 'an invalidated input reaches the package through the operator-initiated walk, via its DEC'; apps/web/app/graph/strategy","Hypotheses, initiatives, capabilities, resources, risks, opportunities and owners are not strategy-graph node types; propagation is operator-initiated, not continuous.",Five of ten object classes exist. | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L670-L710,branch+main+test
C-018,V0,App C / ch.12 Digital Twins,App C (after PARA 401),"Every Digital Twin shall be grounded in evidence, graph entities, temporal state, declared assumptions, and calibrated models; it shall never present synthetic state as observed fact.",V00-F018,twin-simulation,partial,passed:harness,branch-only,phase5,P5,"migrations/0032 twin registry (behaviour_models, twin_kind_schemas, limitations); migrations/0035 twin.ground_element (citations, truth-state rules, cut-offs); test/int/phase5-twins.test.ts: 'a twin without a boundary entity is refused', 'E2 · an EXTRACTED claim cannot ground an OBSERVED element', 'synthetic state folds UPWARD'","Behaviour models carry no calibration history, drift status or operating envelope; only a generic twin kind — enterprise, market, competitor, supply-chain, infrastructure families with validated domain behaviour are absent (P5).",Grounding discipline is enforced; calibration is not. | UNRESOLVED pointer(s) at 2e83945: state element kinds observed/estimated/predicted/simulated | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L671-L710,branch+test
C-019,V0,App C / ch.12 Actual and simulated state,App C (after PARA 401),"Digital Twins shall support time travel, branching, comparison, replay, reconciliation, and versioned evolution across actual and simulated states.",V00-F019,twin-simulation,implemented,passed:harness,branch-only,phase5,P5,"apps/api/src/twin/twins/twin.service.ts (openVersion with branchId/forkedFromVersion, asOf, compare); migrations/0034 twin.reconciliations + record_reconciliation; test/int/phase5-twins.test.ts: 'an ALTERNATIVE branch forked from v1 coexists with the actual branch; comparison lists the difference', 'a change is a NEW version that supersedes'; test/int/phase5-propagation.test.ts: 'a simulated element citing a run is reconciled against a later observation'",Reconciliation is per element and operator-initiated (no continuous reconciliation against incoming observations); no branch promotion/merge.,UNRESOLVED pointer(s) at 2e83945: replay 'tested' layer (migrations/0043) | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L672-L710,branch+test
C-020,V0,App C / ch.13 Prediction Engine,App C (after PARA 401),"The Prediction Engine shall support 30-day, 90-day, 180-day, 1-year, 3-year, and 5-year horizons with horizon-appropriate methods and uncertainty.",V00-F020,prediction,partial,passed:harness,branch-only,phase4,P4,"migrations/0029 horizon_code CHECK ('30d','90d','180d','1y','3y','5y'); apps/api/src/prediction/models/models.ts; migrations/0030 record_backtest per horizon; test/int/phase4-acceptance.test.ts: 'D3 · the learned model is used only when the backtest says it earned it'","One learned model plus a seasonal-naive baseline; no horizon-specific method families (event, causal, structural) and no validated treatment for 3y/5y (PHASE4 review: T3 unmeasured); per-target/horizon validation (P4).",The six codes are enforced; horizon-appropriateness is not. | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L673-L710,branch+test
C-021,V0,App C / ch.13 Forecast package,App C (after PARA 401),"Forecasts shall communicate distributions, confidence, calibration, drivers, sensitivity, and failure conditions rather than false precision or unsupported certainty.",V00-F021,prediction,partial,passed:browser,branch-only,phase4,P4,"migrations/0029 (quantiles q10/q50/q90 ordered, drivers, assumptions, validation_state, attention_state, refresh_cadence); migrations/0030 backtests (coverage_80, pinball vs baseline) and outcome ledger; apps/web/app/prediction/calibration, prediction/forecasts; e2e/phase4-prediction.demo.spec.ts; test/int/phase4-acceptance.test.ts: 'D1 · a forecast names distribution, horizon, drivers, assumptions and evidence — or is refused', 'D4 · an outcome is scored… calibration reports it'",Sensitivity and explicit revision/failure conditions on forecasts; out-of-distribution warnings; model disagreement across methods (single method + baseline).,release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L674-L710,branch+test
C-022,V0,App C / ch.14 Scenario portfolio,App C (after PARA 401),"Scenario Intelligence shall maintain multiple coherent futures, including baseline, upside, downside, disruption, and user-defined alternatives; no single forecast shall masquerade as destiny.",V00-F022,prediction,partial,passed:harness,branch-only,phase4,P4,"migrations/0029 scenarios_current, branches_current kind IN ('baseline','upside','downside') with indicators; migrations/0037 branch flip under both clocks; migrations/0036 scenario_version_as_of; test/int/phase4-acceptance.test.ts: 'D5/D6 · an indicator breach FLIPS the branch with a receipt'; apps/web/app/prediction/scenarios","Disruption, stress, adversarial, counterfactual and user-defined scenario kinds; scenario anatomy (driving forces, actors, causal logic, expected impacts); owner notification when assumptions are invalidated; scenario marketplace (C-046).",Phase 4 scheduled upside/base/downside only; the rest is an omission (P4). | release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L675-L710,branch+test
C-023,V0,App C / ch.15 Experiment contract,App C (after PARA 401),"Every simulation shall declare initial state, assumptions, interventions, model versions, constraints, random seeds where applicable, outputs, and sensitivity so results can be reproduced and challenged.",V00-F023,twin-simulation,implemented,passed:harness,branch-only,phase5,done,"migrations/0033_simulation_runs.sql (initial_state_digest, model_ref, implementation_digest, environment_digest, stochastic_mode/rng/seed/samples, interventions, constraints, assumptions, sensitivity, operator; immutability; simulation.reproductions); test/int/phase5-simulations.test.ts: 'the same process reproduces the digest; a reproduction row records it; a seeded run reproduces too', 'a COLD process re-executes the stored contract', 'when the pinned implementation is no longer the one the run recorded, the verdict is UNREPRODUCIBLE'",None for the invariant; simulation method breadth is V00-T-059 (P5).,release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L676-L710,branch+test
C-024,V0,App C / ch.16 Option architecture,App C (after PARA 401),"Decision Intelligence shall compare viable options against explicit objectives, constraints, risks, opportunities, trade-offs, second-order effects, reversibility, and information value.",V00-F024,decision,partial,passed:browser,branch-only,phase6,P6,"migrations/0041 decision.package_versions (objectives, constraints, second_order, risks, opportunities, reversibility, information_value, choice.accepted_trade_offs), decision.options; test/int/phase6-decisions.test.ts: 'one common baseline: options whose simulated consequences rest on different control runs are refused'; e2e/phase6-decisions.demo.spec.ts; FULL_PRODUCT_DELIVERY_REGISTER.md §6","Conditional approvals are recorded but never evaluated at commitment/monitoring (register §6, missing); option generation (defer/stage/pilot/hedge/exit) and scoring with exposed weights and sensitivity; risk appetite and stakeholder obligations as declared objects; second-order/VoI are free text.",,v00.txt:para 401:L677-L710,branch+test
C-025,V0,App C / ch.16 Decision Replay,App C (after PARA 401),The Eye shall preserve the state of knowledge available at decision time and support replay against later evidence and outcomes without rewriting the historical record.,V00-F025,decision,implemented,passed:browser,branch-only,phase6,R0,"migrations/0043_decision_replay.sql; 0047 prior dissent; 0048 replay_layers AS OF as_of (observed layer); 0049 replay_contributors; apps/api/src/decision/replay/replay.service.ts; test/int/phase6-replay.test.ts: 'known / believed / tested hold only what was recorded under the cut-offs…', 'the world moves after the decision: a correction stays history…'; e2e/phase6-decisions.demo.spec.ts: 'REPLAY: five layers under their cut-offs'","Merge behind C15 (R0); replay-driven evaluation (avoidable vs irreducible uncertainty, lessons) belongs to the learning loop (P7-B).",,v00.txt:para 401:L678-L710,branch+test
C-026,V0,App C / ch.16 Recommendation contract,App C (after PARA 401),"Recommendations shall be evaluated against declared objectives, stakeholder obligations, risk appetite, policy, and strategic constraints rather than an opaque global score.",V00-F026,decision,partial,passed:harness,branch-only,phase6,P6,"test/int/phase6-decisions.test.ts: 'terms: objectives are OBJs, approvers are named humans or registered roles, conditions name what exists'; migrations/0041 (constraints, approver_policy); no global score exists anywhere",Stakeholder obligations and risk appetite are not declared objects; policy constraints are not evaluated against options; alignment scoring with visible weights absent.,,v00.txt:para 401:L679-L710,branch+test
C-027,V0,App C / ch.17 Executive Operating System,App C (after PARA 401),"The executive surface shall organize strategic attention, decisions, scenarios, evidence, objectives, commitments, and outcomes. It shall not degrade into a passive dashboard collection.",V00-F027,executive-os,partial,passed:browser,branch-only,phase6,P6,"migrations/0044 executive.rooms_current/room_members/briefings; apps/api/src/executive/briefings/briefing.service.ts (composed from stored records, windows ordered by time left); migrations/0045 review overdue; test/int/phase6-briefings.test.ts; e2e/phase6-decisions.demo.spec.ts: 'BRIEFINGS: the room, its members and cadence…'; apps/web/app/decisions, decisions/briefings","Objectives/weak-signal/health/risk/opportunity/simulation views on the executive surface; priority queue and attention governance (materiality, urgency, novelty; suppress duplicates; delegate; show deprioritised); Strategic Health Score; strategic planning (P6).",,v00.txt:para 401:L680-L710,branch+test
C-028,V0,App C / ch.18 Agent contract,App C (after PARA 401),"Every agent shall have a declared purpose, tools, data scope, permissions, budgets, escalation rules, prohibited actions, evaluation suite, and accountable owner.",V00-F028,agents,partial,passed:harness,branch-only,phase7,P7-A,"migrations/0046 executive.agents/agent_runs; apps/api/src/executive/agents/agents.service.ts:48-68 (owner, escalation human, budgets max_reads/max_gateway_calls/max_elapsed_ms, stop conditions, code digest, version); test/int/phase6-agents.test.ts: 'a budget of three reads: the run stops before anything is admitted, records the reason and escalates to the named human'; migrations/0038/0039 observation.agents (collection agent, revocation); test/int/phase6-scheduled-collection.test.ts: 'a REFUSED run: the agent is revoked'","Agent card with tools, data scope, permissions, prohibited actions, evaluation suite, known failure modes, rollback; a generic runtime; only decision/briefing/reporting/collection agents exist.",A bounded subset was delivered in Phase 6; the contract is Phase 7 in the build prompt.,v00.txt:para 401:L681-L710,branch+test
C-029,V0,App C / ch.18 Orchestration and separation of duties,App C (after PARA 401),"Planner, Supervisor, and Workflow agents shall enforce policy, separation of duties, checkpoints, timeouts, retries, human gates, and complete execution traces across multi-agent work.",V00-F029,agents,partial,passed:harness,branch-only,phase7,P7-A,"test/int/phase6-agents.test.ts: 'the planner: the room's…', 'the workflow contract reads every step of a decision from its governed events'; migrations/0049 (planner metadata scoped)","No Supervisor; no task graphs, checkpoints, retries, inter-agent contracts, sandboxed tools or resumption of interrupted workflows (Phase 7 acceptance).",Only a narrow planner/workflow reader over decision events exists. | UNRESOLVED pointer(s) at 2e83945: separation of duties at the PDP (agents cannot approve/commit),v00.txt:para 401:L682-L710,branch+test
C-030,V0,App C / ch.18 Tool and model boundaries,App C (after PARA 401),"The platform shall support multiple models and reasoning approaches behind governed interfaces so customers retain control over cost, sovereignty, performance, and vendor dependence.",V00-F030,intelligence,partial,passed:harness,merged,phase2,P2,"apps/api/src/intelligence/gateway/model-gateway.service.ts (replay/recorded modes, model_id, model_weights_digest, prompt_version/digest, latency, abstention; NO hosted model API); migrations/0023 intelligence.gateway_calls, methods_current lifecycle; test/int/phase2-acceptance.test.ts: 'each call carries mode, model, versions and an outcome', 'replay returns byte-identical responses'","Provider adapters (local/private/hosted), routing, cost accounting, per-model evaluation status; the register notes the Model Gateway narrative has no live call (§6).",Owner decision: no paid endpoint reached from the repository.,v00.txt:para 401:L683-L710,main+test
C-031,V0,App C / ch.18 Learning boundary; ch.23,App C (after PARA 401),"Continuous learning shall never permit unreviewed production models, agents, prompts, policies, ontologies, or decision logic to modify themselves silently.",V00-F031,learning-evaluation,partial,unverified,branch-only,phase7,P7-B,"migrations/0023 methods_current lifecycle (draft/approved/active/suspended/retired), prompt_version/prompt_digest pinned per call; migrations/0046 agent version + code_digest; migrations/0003 policy bundles versioned; governed forward-only migrations","No learning loop exists, so nothing self-modifies; the governed release pipeline (evaluation, approval record, canary, rollback) that would make the boundary enforceable is Phase 7.",Satisfied by absence today; must be re-verified when P7-B lands. | release_status merged → branch-only from the evidence at 2e83945 | passed:harness lacked a resolved test/CI pointer → unverified,v00.txt:para 401:L684-L710,branch+main
C-032,V0,App C / ch.24 Weak signals and early warning,App C (after PARA 401),"The system shall surface material changes, weak signals, risks, and opportunities before users ask, while respecting relevance, authority, attention, and notification policy.",V00-F032,prediction,partial,unverified,branch-only,phase4,P4,migrations/0029/0030 raise_warning on indicator breach routed to a named owner; apps/api/src/executive/briefings/briefing.service.ts (changes since the watermark); migrations/0045 condition breaches routed to rooms; forecasts attention_state,"Weak-signal detection, risk/opportunity products, notification/attention policy, cross-domain change surfacing; only indicator-threshold warnings exist.",Weak-signal detection was never scheduled (omission within P4). | UNRESOLVED pointer(s) at 2e83945: migrations/0038–0040 scheduled collection (continuous observation) | passed:harness lacked a resolved test/CI pointer → unverified,v00.txt:para 401:L685-L710,branch
C-033,V0,App C / ch.24,App C (after PARA 401),"Warnings shall be deduplicated, prioritized, evidence-backed, confidence-aware, time-bounded, and linked to affected objectives, assets, decisions, and response playbooks.",V00-F033,prediction,partial,passed:browser,branch-only,phase4,P4,"migrations/0029 §7 warnings_current (evidence, consequence, confidence, response window, named owner, acknowledge/expire); test/int/phase4-acceptance.test.ts: 'D6 · a warning nobody acknowledged before its window closed is recorded as EXPIRED'; apps/web/app/prediction/warnings; migrations/0045 links warnings to decision conditions","Deduplication/clustering, prioritisation, links to objectives and assets, response playbooks, evaluation for misses/false positives/latency.",release_status merged → branch-only from the evidence at 2e83945,v00.txt:para 401:L686-L710,branch+test
C-034,V0,App C / ch.24 Strategic Health Score,App C (after PARA 401),"Any Strategic Health Score shall expose component measures, weights, evidence, confidence, trend, and sensitivity. The score shall never replace the underlying analysis.",V00-F034,executive-os,missing,unverified,none,omission,P6,,"No health score exists (no code, table or page matches). Build a decomposable score: components linked to objectives/evidence/freshness/owners, weights, confidence, trend, sensitivity, alternative-weight view; score changes trigger review, never action.",Never scheduled by the build prompt; belongs to L10 (P6).,v00.txt:para 401:L687-L710,
