id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes
DP-02-005,V7,2 Specification Hierarchy and Data Conformance,13,"When two controlling artifacts conflict, a dependency becomes unresolved, or a data exception expires, the platform SHALL hold affected data release and downstream promotion, select the highest authority, expose impacts, and require explicit amendment or closure; it SHALL NOT infer complete, current, authorized, correct, reconciled, or recovered data state.",V07-F001,governance-docs,partial,unverified,merged,phase0,P7-D,conformance.manifest.json; EXCEPTIONS.md (exception expiry dates); .github/workflows/ci.yml: C16 target-resolved closure gate; scripts/gate/closure-exclusions.json; PROGRESS.md: Document authority model,"Add exception-expiry enforcement and dependency-impact queries; conflicts are resolved by review, not by the platform",
DP-02-006,V7,2 Specification Hierarchy and Data Conformance,13,"Production admission and continued operation SHALL require machine-readable conformance manifests, conflict tests, dependency impact queries, exception expiry exercises, and independent review, bound to the exact contracts, schemas, code, data versions, policies, infrastructure, customer scope, deployment profile, and period under review.",V07-F001,governance-docs,partial,passed:ci,merged,phase0,P7-D,conformance.manifest.json; EXCEPTIONS.md (exception expiry dates); .github/workflows/ci.yml: C16 target-resolved closure gate; scripts/gate/closure-exclusions.json; PROGRESS.md: Document authority model,Conformance manifest exists for images/scanners only; no data-artifact conformance manifest or conflict tests,"Evidence is bound to the head SHA/digests of the local profile, not to a customer scope or period"
DP-03-001,V7,3 Data Principles and Semantic Parity,14,"The data-platform realization of Data Principles and Semantic Parity SHALL preserve one data contract and one strategic meaning across SaaS, Private Cloud, and On-Premise while permitting controlled physical implementation variance.",V07-F001,infrastructure,missing,unverified,none,phase7,P7-D,"EXCEPTIONS.md: EXC-P0-004 (single deployment profile, local Compose); docker-compose.yml",Only one profile exists (local Compose); semantic parity across SaaS/Private Cloud/On-Premise is unclaimed and untestable,
DP-03-002,V7,3 Data Principles and Semantic Parity,14,"Every production instance SHALL declare and continuously reconcile deployment capability profile, semantic parity claim, permitted variance, contract suite, fixture set, evidence validity, and exception state through versioned contracts, observed state, ownership, lineage, and audit evidence.",V07-F001,infrastructure,missing,unverified,none,phase7,P7-D,"EXCEPTIONS.md: EXC-P0-004 (single deployment profile, local Compose); docker-compose.yml","Define deployment capability profiles, permitted variance and a shared fixture set",
DP-03-003,V7,3 Data Principles and Semantic Parity,14,"The implementation SHALL enforce this authority boundary: providers, storage engines, processing frameworks, and operating models may vary; object, time, truth, provenance, policy, correction, export, failure, and replay semantics may not.",V07-F001,infrastructure,missing,unverified,none,phase7,P7-D,"EXCEPTIONS.md: EXC-P0-004 (single deployment profile, local Compose); docker-compose.yml",No profile variance boundary to enforce until a second profile exists,
DP-03-004,V7,3 Data Principles and Semantic Parity,14,"SaaS, Private Cloud, and On-Premise SHALL preserve the same object, temporal, truth-state, provenance, policy, correction, export, failure, replay, and human-authority semantics for Data Principles and Semantic Parity.",V07-F001,infrastructure,missing,unverified,none,phase7,P7-D,"EXCEPTIONS.md: EXC-P0-004 (single deployment profile, local Compose); docker-compose.yml",Deliver Private Cloud and On-Premise profiles and run shared conformance fixtures for Data Principles and Semantic Parity semantics across all three; only the local profile exists,Semantics of this chapter exist (or not) only in the local profile; parity across profiles is unclaimed (EXC-P0-004)
DP-03-005,V7,3 Data Principles and Semantic Parity,15,"When a deployment profile cannot pass the common data- contract and lifecycle conformance suite, the platform SHALL mark the affected capability unavailable or explicitly degraded and prohibit any claim of semantic parity until evidence closes; it SHALL NOT infer complete, current, authorized, correct, reconciled, or recovered data state.",V07-F001,infrastructure,missing,unverified,none,phase7,P7-D,"EXCEPTIONS.md: EXC-P0-004 (single deployment profile, local Compose); docker-compose.yml",No mechanism marks a capability unavailable per profile,
DP-03-006,V7,3 Data Principles and Semantic Parity,15,"Production admission and continued operation SHALL require identical golden data fixtures, contract diffs, export and re-import tests, lifecycle replay, and accountable acceptance for every deployment profile, bound to the exact contracts, schemas, code, data versions, policies, infrastructure, customer scope, deployment profile, and period under review.",V07-F001,infrastructure,missing,unverified,none,phase7,P7-D,"EXCEPTIONS.md: EXC-P0-004 (single deployment profile, local Compose); docker-compose.yml","Golden fixtures, export/re-import and lifecycle replay per profile do not exist",
DP-04-001,V7,"4 Data Ownership, Stewardship, and Accountability",16,"The data-platform realization of Data Ownership, Stewardship, and Accountability SHALL assign singular accountability for data authority, stewardship, technical custody, quality, access, lifecycle, and customer obligations.",V07-F001,governance-docs,partial,passed:harness,merged,phase0,P7-D,"apps/api/migrations/0006_objects.sql (accountable_owner NOT NULL); apps/api/migrations/0022_observation_registry_and_evidence.sql (agents.owner_principal_id, registrar/approver separation); apps/api/test/int/phase1-acceptance.test.ts: an agent is owned by an ACCOUNTABLE HUMAN; apps/api/migrations/0002_identity_tenancy.sql (roles, bindings)",Owner is a free-text accountable_owner on objects and a principal on agents/contracts; no steward/custodian/producer/consumer registry or escalation path,
DP-04-002,V7,"4 Data Ownership, Stewardship, and Accountability",16,"Every production instance SHALL declare and continuously reconcile data owner, steward, custodian, producer, consumer, policy authority, quality authority, escalation path, and evidence obligation through versioned contracts, observed state, ownership, lineage, and audit evidence.",V07-F001,governance-docs,partial,unverified,merged,phase0,P7-D,"apps/api/migrations/0006_objects.sql (accountable_owner NOT NULL); apps/api/migrations/0022_observation_registry_and_evidence.sql (agents.owner_principal_id, registrar/approver separation); apps/api/test/int/phase1-acceptance.test.ts: an agent is owned by an ACCOUNTABLE HUMAN; apps/api/migrations/0002_identity_tenancy.sql (roles, bindings)",Add owner/steward/custodian/escalation declarations reconciled against principals,
DP-04-003,V7,"4 Data Ownership, Stewardship, and Accountability",16,"The implementation SHALL enforce this authority boundary: shared platforms and managed services may distribute duties but may not create unowned data, ambiguous write authority, or silent transfer of customer control.",V07-F001,governance-docs,implemented,passed:harness,merged,phase0,done,"apps/api/migrations/0006_objects.sql (accountable_owner NOT NULL); apps/api/migrations/0022_observation_registry_and_evidence.sql (agents.owner_principal_id, registrar/approver separation); apps/api/test/int/phase1-acceptance.test.ts: an agent is owned by an ACCOUNTABLE HUMAN; apps/api/migrations/0002_identity_tenancy.sql (roles, bindings)",,
DP-04-004,V7,"4 Data Ownership, Stewardship, and Accountability",17,"SaaS, Private Cloud, and On-Premise SHALL preserve the same object, temporal, truth-state, provenance, policy, correction, export, failure, replay, and human-authority semantics for Data Ownership, Stewardship, and Accountability.",V07-F001,governance-docs,missing,unverified,none,phase7,P7-D,"EXCEPTIONS.md: EXC-P0-004 (single deployment profile, local Compose); docker-compose.yml","Deliver Private Cloud and On-Premise profiles and run shared conformance fixtures for Data Ownership, Stewardship, and Accountability semantics across all three; only the local profile exists",Semantics of this chapter exist (or not) only in the local profile; parity across profiles is unclaimed (EXC-P0-004)
DP-04-005,V7,"4 Data Ownership, Stewardship, and Accountability",17,"When a material data asset or obligation has no accountable owner or conflicting authorities issue incompatible instructions, the platform SHALL stop authoritative mutation where safe, preserve the conflict, invoke the recorded escalation path, and keep the gap visible until accepted; it SHALL NOT infer complete, current, authorized, correct, reconciled, or recovered data state.",V07-F001,governance-docs,partial,passed:harness,merged,phase0,P7-D,"apps/api/migrations/0006_objects.sql (accountable_owner NOT NULL); apps/api/migrations/0022_observation_registry_and_evidence.sql (agents.owner_principal_id, registrar/approver separation); apps/api/test/int/phase1-acceptance.test.ts: an agent is owned by an ACCOUNTABLE HUMAN; apps/api/migrations/0002_identity_tenancy.sql (roles, bindings)","Unowned writes are refused at admission (minimum provenance, approver required); no escalation path invocation or visible ownership-gap register",
DP-04-006,V7,"4 Data Ownership, Stewardship, and Accountability",17,"Production admission and continued operation SHALL require signed responsibility matrices, ownership recertification, stewardship queue evidence, privileged-change records, and joint customer operating exercises, bound to the exact contracts, schemas, code, data versions, policies, infrastructure, customer scope, deployment profile, and period under review.",V07-F001,governance-docs,missing,unverified,none,phase7,P7-D,"apps/api/migrations/0006_objects.sql (accountable_owner NOT NULL); apps/api/migrations/0022_observation_registry_and_evidence.sql (agents.owner_principal_id, registrar/approver separation); apps/api/test/int/phase1-acceptance.test.ts: an agent is owned by an ACCOUNTABLE HUMAN; apps/api/migrations/0002_identity_tenancy.sql (roles, bindings)","No signed responsibility matrix, recertification or stewardship-queue SLA evidence",
DP-05-001,V7,5 Data Domain and Product Operating Model,18,The data-platform realization of Data Domain and Product Operating Model SHALL organize reusable governed data products around stable business and intelligence domains without fragmenting the universal core.,V07-F001,data-platform,partial,passed:harness,merged,phase0,P7-F,apps/api/migrations/0002_identity_tenancy.sql (tenancy.domains — Intelligence Domains); apps/api/src/tenancy/tenancy.service.ts; apps/api/migrations/0022 (source contracts scoped per domain),"Domains exist as isolation scopes; no data-product concept, product registry, consumers or SLOs",Domain isolation verified: test/int/domain-isolation.test.ts
DP-05-002,V7,5 Data Domain and Product Operating Model,18,"Every production instance SHALL declare and continuously reconcile domain identity, product identity, owner, purpose, consumers, authoritative inputs, outputs, contract, SLO, policy, cost, and lifecycle through versioned contracts, observed state, ownership, lineage, and audit evidence.",V07-F001,data-platform,missing,unverified,none,phase7,P7-F,apps/api/migrations/0002_identity_tenancy.sql (tenancy.domains — Intelligence Domains); apps/api/src/tenancy/tenancy.service.ts; apps/api/migrations/0022 (source contracts scoped per domain),Add product identity/owner/consumers/SLO/cost registry,Domain isolation verified: test/int/domain-isolation.test.ts
DP-05-003,V7,5 Data Domain and Product Operating Model,18,"The implementation SHALL enforce this authority boundary: domain specialization may extend schemas, ontologies, policies, and products but may not fork canonical intelligence object, graph, evidence, or decision semantics.",V07-F001,data-platform,implemented,passed:harness,merged,phase0,done,apps/api/migrations/0002_identity_tenancy.sql (tenancy.domains — Intelligence Domains); apps/api/src/tenancy/tenancy.service.ts; apps/api/migrations/0022 (source contracts scoped per domain),,Domain isolation verified: test/int/domain-isolation.test.ts
DP-05-004,V7,5 Data Domain and Product Operating Model,18,"SaaS, Private Cloud, and On-Premise SHALL preserve the same object, temporal, truth-state, provenance, policy, correction, export, failure, replay, and human-authority semantics for Data Domain and Product Operating Model.",V07-F001,data-platform,missing,unverified,none,phase7,P7-D,"EXCEPTIONS.md: EXC-P0-004 (single deployment profile, local Compose); docker-compose.yml",Deliver Private Cloud and On-Premise profiles and run shared conformance fixtures for Data Domain and Product Operating Model semantics across all three; only the local profile exists,Semantics of this chapter exist (or not) only in the local profile; parity across profiles is unclaimed (EXC-P0-004)
DP-05-005,V7,5 Data Domain and Product Operating Model,19,"When a data product lacks a contract, duplicates canonical authority, or creates incompatible domain meaning, the platform SHALL deny publication, identify the canonical owner, reconcile the semantic conflict, and migrate consumers through a versioned compatibility plan; it SHALL NOT infer complete, current, authorized, correct, reconciled, or recovered data state.",V07-F001,data-platform,missing,unverified,none,phase7,P7-F,apps/api/migrations/0002_identity_tenancy.sql (tenancy.domains — Intelligence Domains); apps/api/src/tenancy/tenancy.service.ts; apps/api/migrations/0022 (source contracts scoped per domain),No publication denial for uncontracted products (no products),Domain isolation verified: test/int/domain-isolation.test.ts
DP-05-006,V7,5 Data Domain and Product Operating Model,19,"Production admission and continued operation SHALL require domain reviews, product scorecards, contract adoption, duplicate-authority detection, consumer acceptance, and retirement evidence, bound to the exact contracts, schemas, code, data versions, policies, infrastructure, customer scope, deployment profile, and period under review.",V07-F001,data-platform,missing,unverified,none,phase7,P7-F,apps/api/migrations/0002_identity_tenancy.sql (tenancy.domains — Intelligence Domains); apps/api/src/tenancy/tenancy.service.ts; apps/api/migrations/0022 (source contracts scoped per domain),No domain reviews or product scorecards,Domain isolation verified: test/int/domain-isolation.test.ts
DP-06-001,V7,6 Data Classification and Consequence Model,20,"The data-platform realization of Data Classification and Consequence Model SHALL bind sensitivity, rights, truth state, operational criticality, decision consequence, and handling obligations to every governed data object.",V07-F001,identity-policy,partial,passed:harness,merged,phase0,P7-D,"apps/api/migrations/0006_objects.sql (classification, purpose_scope, rights_profile NOT NULL/columns); apps/api/migrations/0022 (classification_ceiling, blob_manifests.classification); apps/api/src/intelligence/extraction/extraction.service.ts (ES-29-002 inheritance of most restrictive controls); apps/api/src/observation/connectors/content-controls.ts",Classification/rights/purpose are header fields and contract ceilings; consequence class is bound per operation (ctx.operation) but not to data objects; no handling-obligation catalogue,
DP-06-002,V7,6 Data Classification and Consequence Model,20,"Every production instance SHALL declare and continuously reconcile classification label, handling policy, purpose, rights, consequence class, dissemination scope, review, expiry, and derivation rule through versioned contracts, observed state, ownership, lineage, and audit evidence.",V07-F001,identity-policy,partial,unverified,merged,phase0,P7-D,"apps/api/migrations/0006_objects.sql (classification, purpose_scope, rights_profile NOT NULL/columns); apps/api/migrations/0022 (classification_ceiling, blob_manifests.classification); apps/api/src/intelligence/extraction/extraction.service.ts (ES-29-002 inheritance of most restrictive controls); apps/api/src/observation/connectors/content-controls.ts","Dissemination scope, review and expiry of classifications are not declared or reconciled",
DP-06-003,V7,6 Data Classification and Consequence Model,20,"The implementation SHALL enforce this authority boundary: classification is policy-bearing metadata enforced at collection, processing, storage, retrieval, model use, export, support, backup, and deletion boundaries.",V07-F001,identity-policy,partial,passed:harness,merged,phase0,P7-D,"apps/api/migrations/0006_objects.sql (classification, purpose_scope, rights_profile NOT NULL/columns); apps/api/migrations/0022 (classification_ceiling, blob_manifests.classification); apps/api/src/intelligence/extraction/extraction.service.ts (ES-29-002 inheritance of most restrictive controls); apps/api/src/observation/connectors/content-controls.ts","Enforced at admission, extraction inheritance and retrieval decisions; not at export, backup, support or deletion boundaries (none exist)",
DP-06-004,V7,6 Data Classification and Consequence Model,21,"SaaS, Private Cloud, and On-Premise SHALL preserve the same object, temporal, truth-state, provenance, policy, correction, export, failure, replay, and human-authority semantics for Data Classification and Consequence Model.",V07-F001,identity-policy,missing,unverified,none,phase7,P7-D,"EXCEPTIONS.md: EXC-P0-004 (single deployment profile, local Compose); docker-compose.yml",Deliver Private Cloud and On-Premise profiles and run shared conformance fixtures for Data Classification and Consequence Model semantics across all three; only the local profile exists,Semantics of this chapter exist (or not) only in the local profile; parity across profiles is unclaimed (EXC-P0-004)
DP-06-005,V7,6 Data Classification and Consequence Model,21,"When classification is absent, conflicting, stale, or cannot be propagated through a transformation, the platform SHALL apply the most restrictive applicable handling, quarantine uncertain derivations, block unsafe serving, and route adjudication to the policy authority; it SHALL NOT infer complete, current, authorized, correct, reconciled, or recovered data state.",V07-F001,identity-policy,partial,passed:harness,merged,phase0,P7-D,"apps/api/migrations/0006_objects.sql (classification, purpose_scope, rights_profile NOT NULL/columns); apps/api/migrations/0022 (classification_ceiling, blob_manifests.classification); apps/api/src/intelligence/extraction/extraction.service.ts (ES-29-002 inheritance of most restrictive controls); apps/api/src/observation/connectors/content-controls.ts",Derived claims inherit the most restrictive controls (extraction.service.ts); no quarantine of uncertain derivations elsewhere,
DP-06-006,V7,6 Data Classification and Consequence Model,21,"Production admission and continued operation SHALL require classification fixtures, derivation tests, declassification review, cross-boundary negative tests, and end-to-end propagation evidence, bound to the exact contracts, schemas, code, data versions, policies, infrastructure, customer scope, deployment profile, and period under review.",V07-F001,identity-policy,partial,unverified,merged,phase0,P7-D,"apps/api/migrations/0006_objects.sql (classification, purpose_scope, rights_profile NOT NULL/columns); apps/api/migrations/0022 (classification_ceiling, blob_manifests.classification); apps/api/src/intelligence/extraction/extraction.service.ts (ES-29-002 inheritance of most restrictive controls); apps/api/src/observation/connectors/content-controls.ts",No classification fixtures/declassification review; propagation evidence limited to extraction (phase2-acceptance B1),"Evidence is bound to the head SHA/digests of the local profile, not to a customer scope or period"
DP-07-001,V7,7 Data Traceability and Documentation Inheritance,22,"The data-platform realization of Data Traceability and Documentation Inheritance SHALL connect every data requirement to constitutional invariants, canonical layers, engineering contracts, AI consumers, infrastructure services, manifests, tests, releases, and operations.",V07-F001,governance-docs,partial,unverified,merged,phase0,P7-D,EXCEPTIONS.md (exact ES-/PR- identifiers per exception); DECISIONS.md; docs/phase1/MILESTONE_ACCEPTANCE_MAPPING.md; PHASE1_REPORT.md §4 acceptance matrix; FULL_PRODUCT_DELIVERY_REGISTER.md §5,Requirement ids are cited in migrations/tests/docs by prose; this audit CSV is the first per-requirement register; no bidirectional trace registry,
DP-07-002,V7,7 Data Traceability and Documentation Inheritance,22,"Every production instance SHALL declare and continuously reconcile requirement identity, source authority, owner, data component, asset, pipeline, product, evidence, release, exception, and retirement linkage through versioned contracts, observed state, ownership, lineage, and audit evidence.",V07-F001,governance-docs,partial,unverified,merged,phase0,P7-D,EXCEPTIONS.md (exact ES-/PR- identifiers per exception); DECISIONS.md; docs/phase1/MILESTONE_ACCEPTANCE_MAPPING.md; PHASE1_REPORT.md §4 acceptance matrix; FULL_PRODUCT_DELIVERY_REGISTER.md §5,No machine-readable linkage requirement->component->asset->test->release,
DP-07-003,V7,7 Data Traceability and Documentation Inheritance,22,"The implementation SHALL enforce this authority boundary: traceability must cross documents, registries, repositories, schemas, jobs, runtime observations, incidents, exports, deletions, and historical replay without relying on prose similarity.",V07-F001,governance-docs,missing,unverified,none,phase7,P7-D,EXCEPTIONS.md (exact ES-/PR- identifiers per exception); DECISIONS.md; docs/phase1/MILESTONE_ACCEPTANCE_MAPPING.md; PHASE1_REPORT.md §4 acceptance matrix; FULL_PRODUCT_DELIVERY_REGISTER.md §5,Traceability relies on prose references in comments and reports,
DP-07-004,V7,7 Data Traceability and Documentation Inheritance,23,"SaaS, Private Cloud, and On-Premise SHALL preserve the same object, temporal, truth-state, provenance, policy, correction, export, failure, replay, and human-authority semantics for Data Traceability and Documentation Inheritance.",V07-F001,governance-docs,missing,unverified,none,phase7,P7-D,"EXCEPTIONS.md: EXC-P0-004 (single deployment profile, local Compose); docker-compose.yml",Deliver Private Cloud and On-Premise profiles and run shared conformance fixtures for Data Traceability and Documentation Inheritance semantics across all three; only the local profile exists,Semantics of this chapter exist (or not) only in the local profile; parity across profiles is unclaimed (EXC-P0-004)
DP-07-005,V7,7 Data Traceability and Documentation Inheritance,23,"When a production data artifact has incomplete, circular, stale, or unverifiable inheritance, the platform SHALL deny promotion or mark the running artifact non-conformant, expose affected products and decisions, and restore a closed evidence chain; it SHALL NOT infer complete, current, authorized, correct, reconciled, or recovered data state.",V07-F001,governance-docs,missing,unverified,none,phase7,P7-D,EXCEPTIONS.md (exact ES-/PR- identifiers per exception); DECISIONS.md; docs/phase1/MILESTONE_ACCEPTANCE_MAPPING.md; PHASE1_REPORT.md §4 acceptance matrix; FULL_PRODUCT_DELIVERY_REGISTER.md §5,Nothing marks a running artifact non-conformant on inheritance gaps,
DP-07-006,V7,7 Data Traceability and Documentation Inheritance,23,"Production admission and continued operation SHALL require bidirectional trace queries, orphan detection, release closure, runtime attestation, correction propagation, and retirement proofs, bound to the exact contracts, schemas, code, data versions, policies, infrastructure, customer scope, deployment profile, and period under review.",V07-F001,governance-docs,missing,unverified,none,phase7,P7-D,EXCEPTIONS.md (exact ES-/PR- identifiers per exception); DECISIONS.md; docs/phase1/MILESTONE_ACCEPTANCE_MAPPING.md; PHASE1_REPORT.md §4 acceptance matrix; FULL_PRODUCT_DELIVERY_REGISTER.md §5,No orphan detection or runtime attestation of requirement coverage,
DP-08-001,V7,8 Data Platform System Context,24,"The data-platform realization of Data Platform System Context SHALL define the end-to-end context connecting sources, enterprise systems, ingestion, processing, canonical state, graph, memory, twins, foresight, decisions, products, users, and external exchange.",V07-F001,data-platform,partial,passed:ci,merged,phase0,P7-D,".dependency-cruiser.cjs; .github/workflows/ci.yml: Module boundaries (dependency-cruiser, blocking); apps/api/src/app.module.ts; apps/api/src/observation/connectors/http-client.ts (host allowlist, SSRF refusal); apps/api/test/int/phase1-hostile-input.test.ts: A10 — SSRF","Context is a modular monolith over Postgres/Redis with three connector kinds; enterprise systems, exchange and external consumers are absent from the deployed context",
DP-08-002,V7,8 Data Platform System Context,24,"Every production instance SHALL declare and continuously reconcile context node, trust boundary, data flow, authority, protocol, locality, classification, dependency, failure domain, and accountable organization through versioned contracts, observed state, ownership, lineage, and audit evidence.",V07-F001,data-platform,partial,passed:ci,merged,phase0,P7-D,".dependency-cruiser.cjs; .github/workflows/ci.yml: Module boundaries (dependency-cruiser, blocking); apps/api/src/app.module.ts; apps/api/src/observation/connectors/http-client.ts (host allowlist, SSRF refusal); apps/api/test/int/phase1-hostile-input.test.ts: A10 — SSRF",No deployed flow inventory with trust boundary/locality/failure-domain per flow,
DP-08-003,V7,8 Data Platform System Context,24,The implementation SHALL enforce this authority boundary: every movement of governed data crosses an identified contract and control point; implicit trust and undocumented side channels are prohibited.,V07-F001,data-platform,implemented,passed:harness,merged,phase0,done,".dependency-cruiser.cjs; .github/workflows/ci.yml: Module boundaries (dependency-cruiser, blocking); apps/api/src/app.module.ts; apps/api/src/observation/connectors/http-client.ts (host allowlist, SSRF refusal); apps/api/test/int/phase1-hostile-input.test.ts: A10 — SSRF",,
DP-08-004,V7,8 Data Platform System Context,25,"SaaS, Private Cloud, and On-Premise SHALL preserve the same object, temporal, truth-state, provenance, policy, correction, export, failure, replay, and human-authority semantics for Data Platform System Context.",V07-F001,data-platform,missing,unverified,none,phase7,P7-D,"EXCEPTIONS.md: EXC-P0-004 (single deployment profile, local Compose); docker-compose.yml",Deliver Private Cloud and On-Premise profiles and run shared conformance fixtures for Data Platform System Context semantics across all three; only the local profile exists,Semantics of this chapter exist (or not) only in the local profile; parity across profiles is unclaimed (EXC-P0-004)
