id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes,source_ref,evidence_scope
PR-02-005,V8,2 Product Principles and User Value Contract,14,"When a workflow optimizes engagement, speed, or automation at the expense of truth, explanation, control, or strategic completeness, the product SHALL constrain the workflow, expose the violated principle, preserve user work, and require accountable product adjudication; it SHALL NOT represent unavailable, stale, unapproved, unsupported, or incomplete state as current and complete.",V08-F001,executive-os,partial,passed:harness,merged,phase6,P7-B,"apps/web/components/ui.tsx (DegradedBanner, ErrorNote, TruthBadge, LifecycleBadge); apps/api/src/shared/degraded-store.ts; apps/api/test/int/phase1-fault-injection.test.ts","The condition 'a workflow optimizes engagement, speed, or automation at the expense of truth, explanation, control, or strategic completeness' has no declared continuity contract: behaviour is fail-closed refusal plus the degraded banner; no hold/expose-affected-scope/route-to-authority path specifi",Truth/lifecycle/degraded labelling exists generically; verification class in source: Journey + fault test | release_status branch-only → merged from the evidence at 2e83945,v08.txt:page 14:L500-L557,main+test
PR-02-006,V8,2 Product Principles and User Value Contract,14,"Acceptance SHALL demonstrate journey tests across all six mission stages, user-value evidence, principle conformance review, and customer authority acceptance for the exact capability version, journey, role, tenant or domain, deployment, entitlement, data and model versions, configuration, consequence class, and period.",V08-F001,executive-os,partial,unverified,branch-only,phase6,P7-B,apps/api/src/decision/monitoring/monitoring.service.ts; apps/api/test/int/phase6-monitoring.test.ts: closure records the lessons as text on the outcomes; apps/api/test/int/phase6-replay.test.ts; PHASE6_REPORT.md §7.1 (Act VI),"No scope-specific acceptance record binding capability version, journey, role, tenant/domain, deployment, entitlement, data/model versions, configuration, consequence class and period; no independent assurance or customer attestation (ADR-023); existing evidence is phase harness/browser/CI",AT-02; verification class in source: Control + accountable,v08.txt:page 14:L511-L557,branch+test
PR-03-001,V8,"3 Customers, Tenants, and Operating Contexts",15,"The Eye SHALL provide a governed, role-appropriate capability through which authorized users can configure governed customer domains and operating contexts without forking the universal product core or leaking state across tenants.",V08-F001,identity-policy,partial,passed:harness,merged,phase0,P7-D,apps/api/src/tenancy/tenancy.service.ts (residency_profile); apps/api/migrations/0002_identity_tenancy.sql (RLS); apps/api/test/int/domain-isolation.test.ts: tenant context cannot COUNT other-tenant rows; e2e/phase0.spec.ts: 4. cross-tenant access denied without metadata leakage,"No jurisdiction, purpose-of-use, specialization-package or deployment fields on the tenant; residency is a stored label without enforcement; no customer operating-context journey (JRN-01)",CAP-AU-04; C-006/007/037/040/041/042; verification class in source: Control + accountable,v08.txt:page 15:L586-L624,main+test
PR-03-002,V8,"3 Customers, Tenants, and Operating Contexts",15,"The product SHALL persist, expose, version, and reconcile customer, tenant, domain, organization, jurisdiction, deployment, data authority, operating context, specialization package, policy set, and lifecycle; identity, owner, effective time, status, provenance, and policy SHALL remain explicit.",V08-F001,identity-policy,partial,passed:harness,merged,phase0,P7-D,"apps/api/migrations/0006_objects.sql (identity, owner, times, status, provenance, policy on every canonical object); apps/api/src/tenancy/tenancy.service.ts (residency_profile); apps/api/migrations/0002_identity_tenancy.sql (RLS); apps/api/test/int/domain-isolation.test.ts: tenant context cannot COUNT other-tenant rows; e2e/phase0.spec.ts: 4. cross-tenant access denied without metadata leakage","Tenant carries id, name, residency_profile only; domain carries id/name; no jurisdiction, obligations, specialization or context versioning",verification class in source: Control + accountable,v08.txt:page 15:L596-L624,main+test
PR-03-003,V8,"3 Customers, Tenants, and Operating Contexts",15,The product SHALL enforce this human-authority boundary: each customer controls its data and authorized operating context; platform operators cannot silently assume customer business authority or broaden purpose.,V08-F001,identity-policy,partial,passed:harness,merged,phase0,P7-D,apps/api/src/policy/pdp.service.ts; apps/api/test/unit/pdp.test.ts; apps/api/test/int/gate22-authority-matrix.test.ts: no port succeeds on a role outside its grantee set,"The boundary 'each customer controls its data and authorized operating context; platform operators cannot silently assume customer business authority or broaden purpose' is only approximated by coarse PDP roles; no named eligible authority, digest, expiry or separation record for this chapter's tran",verification class in source: Control + accountable,v08.txt:page 15:L607-L624,main+test
PR-03-004,V8,"3 Customers, Tenants, and Operating Contexts",15,"SaaS, Private Cloud, and On-Premise SHALL preserve identical outcome, object, human-authority, explanation, correction, export, replay, and failure semantics; operational variance SHALL be declared.",V08-F001,infrastructure,partial,unverified,branch-only,phase7,P7-D,docker-compose.yml (one local profile); infra/images/candidates/*.Dockerfile; .github/workflows/ci.yml: build-test,"One local Docker Compose profile only; no SaaS/Private Cloud/On-Premise deployment profiles, no golden-journey semantic diff across them, no declared operational variance (ch. 65, MET-035)",ADR-020; C-042; semantics are profile-independent by construction (single code path) but unproven | release_status merged → branch-only from the evidence at 2e83945,v08.txt:page 15:L617-L624,branch+main+test
PR-03-005,V8,"3 Customers, Tenants, and Operating Contexts",16,"When tenant, domain, jurisdiction, ownership, or purpose is ambiguous or conflicts with an active context, the product SHALL deny cross-boundary use, retain the last valid context, make scope visibly indeterminate, and require customer-authority resolution; it SHALL NOT represent unavailable, stale, unapproved, unsupported, or incomplete state as current and complete.",V08-F001,identity-policy,partial,passed:harness,merged,phase0,P7-D,"apps/web/components/ui.tsx (DegradedBanner, ErrorNote, TruthBadge, LifecycleBadge); apps/api/src/shared/degraded-store.ts; apps/api/test/int/phase1-fault-injection.test.ts","The condition 'tenant, domain, jurisdiction, ownership, or purpose is ambiguous or conflicts with an active context' has no declared continuity contract: behaviour is fail-closed refusal plus the degraded banner; no hold/expose-affected-scope/route-to-authority path specific to this chapter",Truth/lifecycle/degraded labelling exists generically; verification class in source: Journey + fault test,v08.txt:page 16:L630-L685,main+test
PR-03-006,V8,"3 Customers, Tenants, and Operating Contexts",16,"Acceptance SHALL demonstrate tenant-isolation tests, domain fixtures, jurisdiction and purpose checks, specialization compatibility tests, and customer acceptance for the exact capability version, journey, role, tenant or domain, deployment, entitlement, data and model versions, configuration, consequence class, and period.",V08-F001,identity-policy,partial,unverified,merged,phase0,P7-D,apps/api/src/tenancy/tenancy.service.ts (residency_profile); apps/api/migrations/0002_identity_tenancy.sql (RLS); apps/api/test/int/domain-isolation.test.ts: tenant context cannot COUNT other-tenant rows; e2e/phase0.spec.ts: 4. cross-tenant access denied without metadata leakage,"No scope-specific acceptance record binding capability version, journey, role, tenant/domain, deployment, entitlement, data/model versions, configuration, consequence class and period; no independent assurance or customer attestation (ADR-023); existing evidence is phase harness/browser/CI",AT-03; verification class in source: Control + accountable,v08.txt:page 16:L641-L685,main+test
PR-04-001,V8,"4 Roles, Personas, and Human Authority Model",17,"The Eye SHALL provide a governed, role-appropriate capability through which authorized users can receive role-appropriate information, actions, explanations, and escalation paths while separation of duties and human decision sovereignty remain enforceable.",V08-F001,identity-policy,partial,passed:harness,branch-only,phase0,P7-D,apps/api/migrations/0002_identity_tenancy.sql: identity.roles (13 codes); apps/api/src/policy/pdp.service.ts; apps/api/test/int/phase6-approvals.test.ts: the PEP discharges the human gate BEFORE any port; refuses ... self-approval by the author; apps/api/test/int/phase1-acceptance.test.ts: the REGISTRAR MAY NEVER APPROVE their own registration,"No persona registry (24 PER), no delegation/recusal/recertification, no explicit authority class per transition beyond coded PDP rules; role-appropriate explanation and escalation paths not modelled","Phase 6 roles (decision_owner/approver/authority, executive) are branch-only; CAP-AU-05; C-004/028/029/036/048/050; verification class in source: Control + accountable | release_status merged → branch-only from the evidence at 2e83945",v08.txt:page 17:L715-L744,branch+main+test
PR-04-002,V8,"4 Roles, Personas, and Human Authority Model",17,"The product SHALL persist, expose, version, and reconcile persona, role, authority grant, purpose, scope, task, approval class, delegation, recusal, session, and audit attribution; identity, owner, effective time, status, provenance, and policy SHALL remain explicit.",V08-F001,identity-policy,partial,passed:harness,branch-only,phase0,P7-D,"apps/api/migrations/0006_objects.sql (identity, owner, times, status, provenance, policy on every canonical object); apps/api/migrations/0002_identity_tenancy.sql: identity.roles (13 codes); apps/api/src/policy/pdp.service.ts; apps/api/test/int/phase6-approvals.test.ts: the PEP discharges the human gate BEFORE any port; refuses ... self-approval by the author; apps/api/test/int/phase1-acceptance.test.ts: the REGISTRAR MAY NEVER APPROVE their own registration","Roles and bindings persisted; no persona, authority-class, delegation or separation-of-duty records",verification class in source: Control + accountable | release_status merged → branch-only from the evidence at 2e83945,v08.txt:page 17:L726-L744,branch+main+test
PR-04-003,V8,"4 Roles, Personas, and Human Authority Model",17,The product SHALL enforce this human-authority boundary: roles may shape access and workflow but may not transfer or infer consequential authority; approvals require an authenticated eligible person and exact decision digest.,V08-F001,identity-policy,implemented,passed:harness,branch-only,phase0,P7-D,"apps/api/test/int/phase6-approvals.test.ts: the human gate at the PEP: a non-human principal holding decision_authority is refused before any port; apps/api/test/int/phase6-agents.test.ts: approve, dissent and commit are refused at the PDP with no grant","The boundary holds for decisions; it is not expressed as a reusable rule for every consequential transition named by Volume 8 (publication, source approval, merges) — each module codes its own",verification class in source: Control + accountable | release_status merged → branch-only from the evidence at 2e83945,v08.txt:page 17:L736-L744,branch+test
PR-04-004,V8,"4 Roles, Personas, and Human Authority Model",18,"SaaS, Private Cloud, and On-Premise SHALL preserve identical outcome, object, human-authority, explanation, correction, export, replay, and failure semantics; operational variance SHALL be declared.",V08-F001,infrastructure,partial,unverified,branch-only,phase7,P7-D,docker-compose.yml (one local profile); infra/images/candidates/*.Dockerfile; .github/workflows/ci.yml: build-test,"One local Docker Compose profile only; no SaaS/Private Cloud/On-Premise deployment profiles, no golden-journey semantic diff across them, no declared operational variance (ch. 65, MET-035)",ADR-020; C-042; semantics are profile-independent by construction (single code path) but unproven | release_status merged → branch-only from the evidence at 2e83945,v08.txt:page 18:L750-L815,branch+main+test
PR-04-005,V8,"4 Roles, Personas, and Human Authority Model",18,"When a user is ineligible, conflicted, unavailable, delegated outside policy, or cannot understand the decision package, the product SHALL block the consequential transition, preserve draft work, expose the missing authority, and escalate without substituting automation; it SHALL NOT represent unavailable, stale, unapproved, unsupported, or incomplete state as current and complete.",V08-F001,identity-policy,partial,passed:harness,merged,phase0,P7-D,"apps/web/components/ui.tsx (DegradedBanner, ErrorNote, TruthBadge, LifecycleBadge); apps/api/src/shared/degraded-store.ts; apps/api/test/int/phase1-fault-injection.test.ts","The condition 'a user is ineligible, conflicted, unavailable, delegated outside policy, or cannot understand the decision package' has no declared continuity contract: behaviour is fail-closed refusal plus the degraded banner; no hold/expose-affected-scope/route-to-authority path specific to this ch",Truth/lifecycle/degraded labelling exists generically; verification class in source: Journey + fault test,v08.txt:page 18:L759-L815,main+test
PR-04-006,V8,"4 Roles, Personas, and Human Authority Model",18,"Acceptance SHALL demonstrate role and separation-of-duty tests, delegated-authority expiry, recusal scenarios, approval digest verification, and accessibility evidence for the exact capability version, journey, role, tenant or domain, deployment, entitlement, data and model versions, configuration, consequence class, and period.",V08-F001,identity-policy,partial,unverified,branch-only,phase0,P7-D,apps/api/migrations/0002_identity_tenancy.sql: identity.roles (13 codes); apps/api/src/policy/pdp.service.ts; apps/api/test/int/phase6-approvals.test.ts: the PEP discharges the human gate BEFORE any port; refuses ... self-approval by the author; apps/api/test/int/phase1-acceptance.test.ts: the REGISTRAR MAY NEVER APPROVE their own registration,"No scope-specific acceptance record binding capability version, journey, role, tenant/domain, deployment, entitlement, data/model versions, configuration, consequence class and period; no independent assurance or customer attestation (ADR-023); existing evidence is phase harness/browser/CI",AT-04; verification class in source: Control + accountable | release_status merged → branch-only from the evidence at 2e83945,v08.txt:page 18:L770-L815,branch+main+test
PR-05-001,V8,5 Information Architecture and Workspace System,19,"The Eye SHALL provide a governed, role-appropriate capability through which authorized users can move through a coherent system of workspaces, work objects, queues, investigations, strategic packages, and actions without losing context or authority.",V08-F001,ux,partial,passed:browser,merged,phase0,P7-E,apps/web/app/layout.tsx; apps/web/app/observation/evidence/[evdId]/page.tsx (deep link); e2e/phase0.spec.ts; e2e/phase1-observation.spec.ts: 13. a denied view discloses nothing about another domain,"No global operating-context bar (tenant/domain/role/objective/geography/horizon/scenario/classification), no work queues, no workspace registry for the 20 WS, no deterministic return path on workspace switch, no stale-projection watermark on every projection","Phase 6 pages (decisions, briefings) are branch-only; CAP-AU-06; WS-01..20; verification class in source: Control + accountable | UNRESOLVED pointer(s) at 2e83945: apps/web/app/{admin,observation,intelligence,graph,prediction,twins,decisions}/layout.tsx",v08.txt:page 19:L843-L881,main+test
PR-05-002,V8,5 Information Architecture and Workspace System,19,"The product SHALL persist, expose, version, and reconcile workspace identity, purpose, audience, navigation position, active context, object selection, query, filter, view, draft, task, and return path; identity, owner, effective time, status, provenance, and policy SHALL remain explicit.",V08-F001,ux,partial,passed:harness,merged,phase0,P7-E,"apps/api/migrations/0006_objects.sql (identity, owner, times, status, provenance, policy on every canonical object); apps/web/app/layout.tsx; apps/web/app/observation/evidence/[evdId]/page.tsx (deep link); e2e/phase0.spec.ts; e2e/phase1-observation.spec.ts: 13. a denied view discloses nothing about another domain","No persisted workspace/navigation state, saved filters or draft state across workspaces","verification class in source: Control + accountable | UNRESOLVED pointer(s) at 2e83945: apps/web/app/{admin,observation,intelligence,graph,prediction,twins,decisions}/layout.tsx",v08.txt:page 19:L853-L881,main+test
PR-05-003,V8,5 Information Architecture and Workspace System,19,"The product SHALL enforce this human-authority boundary: navigation may change presentation and focus but may not change canonical state, permission, decision meaning, or the identity of the active work object.",V08-F001,ux,partial,passed:harness,merged,phase0,P7-E,apps/api/src/policy/pdp.service.ts; apps/api/test/unit/pdp.test.ts; apps/api/test/int/gate22-authority-matrix.test.ts: no port succeeds on a role outside its grantee set,"The boundary 'navigation may change presentation and focus but may not change canonical state, permission, decision meaning, or the identity of the active work object' is only approximated by coarse PDP roles; no named eligible authority, digest, expiry or separation record for this chapter's transi",verification class in source: Control + accountable,v08.txt:page 19:L864-L881,main+test
PR-05-004,V8,5 Information Architecture and Workspace System,19,"SaaS, Private Cloud, and On-Premise SHALL preserve identical outcome, object, human-authority, explanation, correction, export, replay, and failure semantics; operational variance SHALL be declared.",V08-F001,infrastructure,partial,unverified,branch-only,phase7,P7-D,docker-compose.yml (one local profile); infra/images/candidates/*.Dockerfile; .github/workflows/ci.yml: build-test,"One local Docker Compose profile only; no SaaS/Private Cloud/On-Premise deployment profiles, no golden-journey semantic diff across them, no declared operational variance (ch. 65, MET-035)",ADR-020; C-042; semantics are profile-independent by construction (single code path) but unproven | release_status merged → branch-only from the evidence at 2e83945,v08.txt:page 19:L874-L881,branch+main+test
PR-05-005,V8,5 Information Architecture and Workspace System,20,"When workspace context, object identity, permission, or navigation history becomes inconsistent or stale, the product SHALL restore the last verified context, mark stale projections, preserve unsaved work, and prevent action against an unintended object; it SHALL NOT represent unavailable, stale, unapproved, unsupported, or incomplete state as current and complete.",V08-F001,ux,partial,passed:harness,merged,phase0,P7-E,"apps/web/components/ui.tsx (DegradedBanner, ErrorNote, TruthBadge, LifecycleBadge); apps/api/src/shared/degraded-store.ts; apps/api/test/int/phase1-fault-injection.test.ts","The condition 'workspace context, object identity, permission, or navigation history becomes inconsistent or stale' has no declared continuity contract: behaviour is fail-closed refusal plus the degraded banner; no hold/expose-affected-scope/route-to-authority path specific to this chapter",Truth/lifecycle/degraded labelling exists generically; verification class in source: Journey + fault test,v08.txt:page 20:L887-L942,main+test
PR-05-006,V8,5 Information Architecture and Workspace System,20,"Acceptance SHALL demonstrate cross-workspace journey tests, deep-link and back-stack tests, object identity checks, role-based navigation evidence, and state restoration for the exact capability version, journey, role, tenant or domain, deployment, entitlement, data and model versions, configuration, consequence class, and period.",V08-F001,ux,partial,unverified,merged,phase0,P7-E,apps/web/app/layout.tsx; apps/web/app/observation/evidence/[evdId]/page.tsx (deep link); e2e/phase0.spec.ts; e2e/phase1-observation.spec.ts: 13. a denied view discloses nothing about another domain,"No scope-specific acceptance record binding capability version, journey, role, tenant/domain, deployment, entitlement, data/model versions, configuration, consequence class and period; no independent assurance or customer attestation (ADR-023); existing evidence is phase harness/browser/CI","AT-05; verification class in source: Control + accountable | UNRESOLVED pointer(s) at 2e83945: apps/web/app/{admin,observation,intelligence,graph,prediction,twins,decisions}/layout.tsx",v08.txt:page 20:L898-L942,main+test
PR-06-001,V8,"6 Product State, Lifecycle, and Work Object Model",21,"The Eye SHALL provide a governed, role-appropriate capability through which authorized users can create, review, approve, publish, supersede, withdraw, archive, export, replay, and retire every material work object through explicit lifecycle states.",V08-F001,data-platform,partial,passed:harness,merged,phase0,P3,"apps/api/migrations/0006_objects.sql (lifecycle_state, truth_state, supersedes, correction_of, withdrawal_reason); apps/api/src/objects/objects.controller.ts; apps/api/test/acceptance/acceptance.test.ts: creates, corrects (non-destructive), and version-conflicts correctly; apps/api/test/int/phase1-acceptance.test.ts: a WITHDRAWAL says so in the truth state","No archive, export, publish or retire transitions; lifecycle states are per module (source, package, twin, forecast) rather than one governed work-object state machine with transition contracts (ADR-006)",CAP-AU-07; C-003/010/011/012/036/049; verification class in source: End-to-end product,v08.txt:page 21:L971-L1010,main+test
PR-06-002,V8,"6 Product State, Lifecycle, and Work Object Model",21,"The product SHALL persist, expose, version, and reconcile object identity, type, owner, version, status, truth state, policy, task state, approval state, publication state, dependencies, timestamps, and lifecycle events; identity, owner, effective time, status, provenance, and policy SHALL remain explicit.",V08-F001,data-platform,partial,passed:harness,merged,phase0,P3,"apps/api/migrations/0006_objects.sql (identity, owner, times, status, provenance, policy on every canonical object); apps/api/migrations/0006_objects.sql (lifecycle_state, truth_state, supersedes, correction_of, withdrawal_reason); apps/api/src/objects/objects.controller.ts; apps/api/test/acceptance/acceptance.test.ts: creates, corrects (non-destructive), and version-conflicts correctly; apps/api/test/int/phase1-acceptance.test.ts: a WITHDRAWAL says so in the truth state","lifecycle_state exists per object; no transition contract table, no archive/retire/export state, no reconciliation of state across derived objects",verification class in source: Control + accountable,v08.txt:page 21:L982-L1010,main+test
PR-06-003,V8,"6 Product State, Lifecycle, and Work Object Model",21,"The product SHALL enforce this human-authority boundary: only the canonical owner may commit an authoritative transition; views, agents, models, imports, and projections submit proposals or commands through the owning contract.",V08-F001,data-platform,partial,passed:harness,merged,phase0,P3,apps/api/src/policy/pdp.service.ts; apps/api/test/unit/pdp.test.ts; apps/api/test/int/gate22-authority-matrix.test.ts: no port succeeds on a role outside its grantee set,"The boundary 'only the canonical owner may commit an authoritative transition; views, agents, models, imports, and projections submit proposals or commands through the owning' is only approximated by coarse PDP roles; no named eligible authority, digest, expiry or separation record for this chapter'",verification class in source: Control + accountable,v08.txt:page 21:L993-L1010,main+test
PR-06-004,V8,"6 Product State, Lifecycle, and Work Object Model",21,"SaaS, Private Cloud, and On-Premise SHALL preserve identical outcome, object, human-authority, explanation, correction, export, replay, and failure semantics; operational variance SHALL be declared.",V08-F001,infrastructure,partial,unverified,branch-only,phase7,P7-D,docker-compose.yml (one local profile); infra/images/candidates/*.Dockerfile; .github/workflows/ci.yml: build-test,"One local Docker Compose profile only; no SaaS/Private Cloud/On-Premise deployment profiles, no golden-journey semantic diff across them, no declared operational variance (ch. 65, MET-035)",ADR-020; C-042; semantics are profile-independent by construction (single code path) but unproven | release_status merged → branch-only from the evidence at 2e83945,v08.txt:page 21:L1003-L1010,branch+main+test
PR-06-005,V8,"6 Product State, Lifecycle, and Work Object Model",22,"When an object transition is invalid, duplicated, out of order, stale, partially committed, or cannot identify its owner, the product SHALL reject or compensate the transition, preserve the last authoritative version and attempted action, and expose the unresolved lifecycle; it SHALL NOT represent unavailable, stale, unapproved, unsupported, or incomplete state as current and complete.",V08-F001,data-platform,partial,passed:harness,merged,phase0,P3,"apps/web/components/ui.tsx (DegradedBanner, ErrorNote, TruthBadge, LifecycleBadge); apps/api/src/shared/degraded-store.ts; apps/api/test/int/phase1-fault-injection.test.ts","The condition 'an object transition is invalid, duplicated, out of order, stale, partially committed, or cannot identify its owner' has no declared continuity contract: behaviour is fail-closed refusal plus the degraded banner; no hold/expose-affected-scope/route-to-authority path specific to this c",Truth/lifecycle/degraded labelling exists generically; verification class in source: Journey + fault test,v08.txt:page 22:L1015-L1071,main+test
PR-06-006,V8,"6 Product State, Lifecycle, and Work Object Model",22,"Acceptance SHALL demonstrate state-machine fixtures, idempotency and ordering tests, stale-write denial, lifecycle replay, correction propagation, and export/re-import evidence for the exact capability version, journey, role, tenant or domain, deployment, entitlement, data and model versions, configuration, consequence class, and period.",V08-F001,data-platform,partial,unverified,merged,phase0,P3,"apps/api/migrations/0006_objects.sql (lifecycle_state, truth_state, supersedes, correction_of, withdrawal_reason); apps/api/src/objects/objects.controller.ts; apps/api/test/acceptance/acceptance.test.ts: creates, corrects (non-destructive), and version-conflicts correctly; apps/api/test/int/phase1-acceptance.test.ts: a WITHDRAWAL says so in the truth state","No scope-specific acceptance record binding capability version, journey, role, tenant/domain, deployment, entitlement, data/model versions, configuration, consequence class and period; no independent assurance or customer attestation (ADR-023); existing evidence is phase harness/browser/CI",AT-06; verification class in source: Journey + fault test,v08.txt:page 22:L1027-L1071,main+test
PR-07-001,V8,"7 Accessibility, Localization, and Global Readiness",23,"The Eye SHALL provide a governed, role-appropriate capability through which authorized users can complete every material journey and understand evidence, uncertainty, alerts, recommendations, approvals, and product state without dependence on a single sensory, language, or interaction mode.",V08-F002,ux,partial,passed:browser,merged,phase0,P7-E,"apps/web/lib/i18n.ts (en, ar; RTL); apps/web/app/globals.css (:focus-visible, prefers-reduced-motion); e2e/phase0.spec.ts: 9. keyboard navigation and basic accessibility; e2e/phase1-observation.spec.ts: 11. keyboard operation, landmarks and labels; 12. state is never carried by colour alone; 14. the shell mirrors under RTL","No WCAG 2.2 AA audit, no screen-reader (NVDA/JAWS/VoiceOver) evidence, two locales with partial string coverage, no locale-aware number/date/time-zone formatting, no accessibility governance owner/regression gate (GLB-01..24)",CAP-AU-08; ADR-019; C-048; verification class in source: Control + accountable | UNRESOLVED pointer(s) at 2e83945: 10. light/dark presentation and RTL-layout smoke,v08.txt:page 23:L1102-L1132,main+test
