id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes,source_ref,evidence_scope,cap_alias
L2-C02,V3,10 Intelligence Layer,27,"Cleaning, Normalization, and Language Services Owns the cleaning, normalization, and language services capability inside Intelligence Layer, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F004,intelligence,missing,unverified,none,omission,P2,,"Cleaning, normalisation, unit/language detection and multilingual services do not exist",Volume 4 App A catalogues the same component; see v04.csv L2-C02,v03.txt:page 27:L816-L849,,
L2-C03,V3,10 Intelligence Layer,27,"Classification and Routing Owns the classification and routing capability inside Intelligence Layer, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F004,intelligence,partial,unverified,merged,phase2,P2,"apps/api/src/intelligence/extraction/orchestrator.service.ts; apps/api/src/intelligence/methods/methods.service.ts:23-35; migrations/0023:72,404-521",Routing is by registered method only; no content classification (domain/risk/language) driving transformation-plan selection,Volume 4 App A catalogues the same component; see v04.csv L2-C03 | passed:harness lacked a resolved test/CI pointer → unverified,v03.txt:page 27:L821-L849,main,
L2-C04,V3,10 Intelligence Layer,27,"Summarization and Structured Extraction Owns the summarization and structured extraction capability inside Intelligence Layer, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F004,intelligence,partial,passed:harness,merged,phase2,P2,"apps/api/src/intelligence/extraction/extraction.service.ts; migrations/0023_intelligence_extraction_and_claims.sql:251,286; test/int/phase2-acceptance.test.ts:363",Structured extraction yields claims only; no summarisation product,Volume 4 App A catalogues the same component; see v04.csv L2-C04,v03.txt:page 27:L825-L849,main+test,
L2-C05,V3,10 Intelligence Layer,27,"Named-Entity Recognition and Candidate Linking Owns the named-entity recognition and candidate linking capability inside Intelligence Layer, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F004,intelligence,partial,passed:harness,merged,phase2,P2,"apps/api/src/intelligence/extraction/extraction.service.ts; apps/api/src/graph/entities/resolution.service.ts; apps/api/src/graph/entities/resolver.service.ts; test/int/phase3-acceptance.test.ts:377,460","No NER model; candidate linking happens at graph resolution time, not inside the Intelligence Layer with candidate confidence",Volume 4 App A catalogues the same component; see v04.csv L2-C05,v03.txt:page 27:L829-L849,main+test,
L2-C06,V3,10 Intelligence Layer,27,"Relationship, Event, and Claim Extraction Owns the relationship, event, and claim extraction capability inside Intelligence Layer, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F004,intelligence,partial,passed:harness,merged,phase2,P2,"apps/api/src/intelligence/extraction/extraction.service.ts:339; migrations/0023:286-323 (claim_lineage, append-only); test/int/phase2-acceptance.test.ts:363,478",Claim extraction only; relationship and event extraction (EVT/REL candidates with lineage) not produced,Volume 4 App A catalogues the same component; see v04.csv L2-C06,v03.txt:page 27:L834-L849,main+test,
L2-C07,V3,10 Intelligence Layer,27,"Contradiction and Corroboration Detection Owns the contradiction and corroboration detection capability inside Intelligence Layer, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F004,intelligence,missing,unverified,none,omission,P2,,No contradiction/corroboration detection service; contradiction_refs and corroboration_refs are always empty (objects.service.ts:260-278),Volume 4 App A catalogues the same component; see v04.csv L2-C07,v03.txt:page 27:L838-L849,,
L2-C08,V3,10 Intelligence Layer,27,"Confidence and Truth-State Assessor Executes the governed confidence and truth-state assessor method against declared inputs and versions; returns results, uncertainty, evaluation, and lineage.",V03-F004,intelligence,implemented,passed:harness,merged,phase2,P2,"packages/contracts/src/truth-state.ts:9-69; apps/api/src/objects/objects.service.ts:188-195; migrations/0023:301 (claim_lineage.confidence), :638-651 (abstention); apps/api/src/intelligence/gateway/model-gateway.service.ts:65,117-123; test/int/phase2-acceptance.test.ts:388",Confidence is not calibrated/evaluated against review outcomes; no truth-state transition matrix,Volume 4 App A catalogues the same component; see v04.csv L2-C08,v03.txt:page 27:L842-L849,main+test,
L2-C09,V3,10 Intelligence Layer,27,"Human Review Queue and Adjudication Coordinates durable human review queue and adjudication transitions, human tasks, deadlines, separation of duties, challenge, and audit evidence.",V03-F004,intelligence,partial,passed:harness,merged,phase2,P2,"apps/api/src/intelligence/review/review.service.ts; migrations/0023:329,347,757,786; apps/web/app/intelligence/review; test/int/phase2-acceptance.test.ts:427,518; test/unit/codex-corrections.test.ts:212,259","No review deadlines, separation of duties between extractor and reviewer, challenge/appeal path, or escalation on reviewer unavailability",Volume 4 App A catalogues the same component; see v04.csv L2-C09,v03.txt:page 27:L846-L849,main+test,
L2-C10,V3,10 Intelligence Layer,28,"Transformation Registry and Evaluation Harness Owns versioned transformation registry and evaluation harness definitions, resolution, compatibility, stewardship state, and lifecycle events within Intelligence Layer.",V03-F004,intelligence,partial,unverified,merged,phase2,P2,"apps/api/src/intelligence/methods/methods.service.ts:23-35; migrations/0023:52,72,404-521; apps/web/app/intelligence/methods","Method registry exists; no evaluation harness (benchmarks, held-out sets, fitness decisions) for transformations",Volume 4 App A catalogues the same component; see v04.csv L2-C10 | passed:harness lacked a resolved test/CI pointer → unverified,v03.txt:page 28:L854-L888,main,
L3-C01,V3,11 Enterprise Memory,29,"Memory Object Service Owns the memory object service capability inside Enterprise Memory, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F005,memory-graph,implemented,passed:harness,merged,phase0,done,apps/api/src/objects/objects.service.ts; apps/api/src/objects/objects.controller.ts; migrations/0006_objects.sql; test/acceptance/acceptance.test.ts:482-723; test/int/phase1-acceptance.test.ts,,Volume 4 App A catalogues the same component; see v04.csv L3-C01,v03.txt:page 29:L920-L950,main+test,
L3-C02,V3,11 Enterprise Memory,29,"Document and Artifact Repository Persists authoritative document and artifact repository state with version, integrity, policy, retention, and recovery semantics.",V03-F005,memory-graph,partial,unverified,merged,phase1,P3,apps/api/src/observation/vault/vault.service.ts; migrations/0022:375 (blob_manifests),"Only source-evidence blobs; no repository for documents/communications, briefing artifacts, exports or attachments with retention semantics",Volume 4 App A catalogues the same component; see v04.csv L3-C02 | passed:harness lacked a resolved test/CI pointer → unverified,v03.txt:page 29:L923-L950,main,
L3-C03,V3,11 Enterprise Memory,29,"Temporal Record Store Persists authoritative temporal record store state with version, integrity, policy, retention, and recovery semantics.",V03-F005,memory-graph,implemented,passed:harness,merged,phase0,done,"migrations/0006_objects.sql:28,84; apps/api/src/objects/objects.service.ts:141-156 (getKnownAt); apps/api/src/objects/objects.controller.ts:129-146; test/int/phase1-acceptance.test.ts:290,328,827",,Volume 4 App A catalogues the same component; see v04.csv L3-C03,v03.txt:page 29:L925-L950,main+test,
L3-C04,V3,11 Enterprise Memory,29,"Version and Correction Ledger Owns the version and correction ledger capability inside Enterprise Memory, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F005,memory-graph,implemented,passed:harness,merged,phase1,done,"apps/api/src/objects/objects.service.ts:91-121; migrations/0026:27,33,51-56; migrations/0027:112,294,324; apps/api/src/audit/audit.service.ts; test/int/phase1-acceptance.test.ts:702-805; test/int/phase3-corrections.test.ts:322,468,570",,Volume 4 App A catalogues the same component; see v04.csv L3-C04,v03.txt:page 29:L928-L950,main+test,
L3-C05,V3,11 Enterprise Memory,29,"Retention, Legal Hold, and Deletion Service Owns the retention, legal hold, and deletion service capability inside Enterprise Memory, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F005,memory-graph,partial,passed:harness,branch-only,phase1,P3,"migrations/0022:375 (legal_hold), :956 (set_rights_state), :1279-1301 (record_manifest); apps/api/src/observation/vault/vault.service.ts:233 (tombstone); test/int/phase6-scheduled-corrections.test.ts:222",legal_hold never read or enforced; no retention-expiry job; deletion = blob tombstone without residual-reference proof; no customer-export-on-retention workflow,Volume 4 App A catalogues the same component; see v04.csv L3-C05 | release_status merged → branch-only from the evidence at 2e83945,v03.txt:page 29:L932-L950,branch+main+test,
L3-C06,V3,11 Enterprise Memory,29,"Permission-Aware Semantic Index Owns the permission-aware semantic index capability inside Enterprise Memory, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F005,memory-graph,partial,passed:harness,merged,phase3,P3,"apps/api/src/graph/search/search.service.ts; apps/web/app/graph/search; test/int/phase3-acceptance.test.ts:762,774,795,804","Lexical, metadata-only index (MAX 50); no embeddings/pgvector, no semantic index, no index rebuild-from-canonical evidence",Volume 4 App A catalogues the same component; see v04.csv L3-C06,v03.txt:page 29:L937-L950,main+test,
L3-C07,V3,11 Enterprise Memory,29,"Memory Retrieval and Context Assembly Owns the memory retrieval and context assembly capability inside Enterprise Memory, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F005,memory-graph,partial,unverified,merged,phase3,P3,apps/api/src/graph/search/search.service.ts; apps/api/src/intelligence/gateway/model-gateway.service.ts,No context-assembly service (interpret/authorize/retrieve/assemble/explain) feeding models or agents; retrieval is not purpose-aware,Volume 4 App A catalogues the same component; see v04.csv L3-C07 | passed:harness lacked a resolved test/CI pointer → unverified,v03.txt:page 29:L941-L950,main,
L3-C08,V3,11 Enterprise Memory,29,"Archive and Cold-Tier Manager Coordinates archive and cold-tier lifecycle, admission, ordering, retries, budgets, escalation, completion, and observable state.",V03-F005,memory-graph,missing,unverified,none,omission,P7-D,,No archive/cold-tier lifecycle,Volume 4 App A catalogues the same component; see v04.csv L3-C08,v03.txt:page 29:L944-L950,,
L3-C09,V3,11 Enterprise Memory,29,"Memory Integrity and Orphan Detection Owns the memory integrity and orphan detection capability inside Enterprise Memory, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F005,memory-graph,partial,passed:harness,merged,phase0,P3,"migrations/0005:4 (audit.rebuild_chain_heads); test/int/gate22-audit-verify.test.ts; test/int/audit-chain.test.ts:117,180",Audit-chain integrity only; no memory orphan detection or referential-integrity monitor across objects/blobs/edges,Volume 4 App A catalogues the same component; see v04.csv L3-C09,v03.txt:page 29:L947-L950,main+test,
L4-C01,V3,12 Knowledge Graph,31,"Ontology Registry and Governance Workflow Owns versioned ontology registry and governance workflow definitions, resolution, compatibility, stewardship state, and lifecycle events within Knowledge Graph.",V03-F005,memory-graph,missing,unverified,none,omission,P3,,"No ontology registry, versioning, compatibility analysis or governance workflow; header.ontology_ref is null everywhere",Volume 4 App A catalogues the same component; see v04.csv L4-C01,v03.txt:page 31:L1015-L1027,,
L4-C02,V3,12 Knowledge Graph,31,"Identity Resolution and Entity Stewardship Owns the identity resolution and entity stewardship capability inside Knowledge Graph, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F005,memory-graph,implemented,passed:harness,merged,phase3,P3,"apps/api/src/graph/entities/entities.service.ts; apps/api/src/graph/entities/resolution.service.ts; apps/api/src/graph/entities/resolver.service.ts; migrations/0024:109-245; apps/web/app/graph/resolutions; test/int/phase3-acceptance.test.ts:377,460,474",Multilingual/master identity and steward roles not implemented,Volume 4 App A catalogues the same component; see v04.csv L4-C02,v03.txt:page 31:L1020-L1027,main+test,
L4-C03,V3,12 Knowledge Graph,31,"Graph Write Validator Owns the graph write validator capability inside Knowledge Graph, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F005,memory-graph,implemented,passed:harness,merged,phase3,done,"migrations/0025_impact_closure_and_edge_admission.sql:137; apps/api/src/graph/edges/edges.service.ts; test/int/phase3-acceptance.test.ts:503; test/unit/codex-corrections.test.ts:599,609",,Volume 4 App A catalogues the same component; see v04.csv L4-C03,v03.txt:page 31:L1024-L1027,main+test,
L4-C04,V3,12 Knowledge Graph,32,"Temporal Graph Store Persists authoritative temporal graph store state with version, integrity, policy, retention, and recovery semantics.",V03-F005,memory-graph,implemented,passed:harness,merged,phase3,done,"migrations/0024:385-403 (edge_events/edges_current, valid+system time); apps/api/src/graph/edges/edges.service.ts:61-66,121-286; test/int/phase3-acceptance.test.ts:839,850",,Volume 4 App A catalogues the same component; see v04.csv L4-C04,v03.txt:page 32:L1031-L1072,main+test,
L4-C05,V3,12 Knowledge Graph,32,"Provenance and Evidence Edge Service Owns the provenance and evidence edge service capability inside Knowledge Graph, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F005,memory-graph,implemented,passed:harness,merged,phase3,done,packages/contracts/src/header.ts:82-89 (hasMinimumProvenance); migrations/0006:77; migrations/0024 (provenance on edges); test/int/phase3-acceptance.test.ts:627; test/int/phase2-acceptance.test.ts:339,,Volume 4 App A catalogues the same component; see v04.csv L4-C05,v03.txt:page 32:L1034-L1072,main+test,
L4-C06,V3,12 Knowledge Graph,32,"Graph Query and Traversal Service Owns the graph query and traversal service capability inside Knowledge Graph, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F005,memory-graph,implemented,passed:harness,merged,phase3,done,"apps/api/src/graph/graph.controller.ts:48-58,417,500,561; apps/api/src/graph/graph.capabilities.ts:288-330; migrations/0027:382-393 (lossless cursor); apps/web/app/graph/explore; test/int/phase3-acceptance.test.ts:657,692,730",,Projection lag not measured,v03.txt:page 32:L1038-L1072,main+test,
L4-C07,V3,12 Knowledge Graph,32,"Reasoning and Constraint Engine Executes the governed reasoning and constraint method against declared inputs and versions; returns results, uncertainty, evaluation, and lineage.",V03-F005,memory-graph,missing,unverified,none,omission,P3,,"No reasoning/constraint engine (rule evaluation, inference, constraint checking) beyond edge-admission checks",Volume 4 App A catalogues the same component; see v04.csv L4-C07,v03.txt:page 32:L1041-L1072,,
L4-C08,V3,12 Knowledge Graph,32,"Graph Change Subscription Service Owns the graph change subscription service capability inside Knowledge Graph, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F005,memory-graph,partial,passed:harness,merged,phase3,P3,"migrations/0024:519 (graph.dependencies), :1306 (graph.record_impact); migrations/0025:26-27,57; apps/api/src/graph/strategy/impact.service.ts; test/int/phase3-acceptance.test.ts:996,1016,1028","Impact is computed synchronously inside the write; no subscription registry, no GraphChanged event consumers",Volume 4 App A catalogues the same component; see v04.csv L4-C08,v03.txt:page 32:L1044-L1072,main+test,
L4-C09,V3,12 Knowledge Graph,32,"Merge, Split, and Reconciliation Manager Coordinates merge, split, and reconciliation lifecycle, admission, ordering, retries, budgets, escalation, completion, and observable state.",V03-F005,memory-graph,partial,passed:harness,merged,phase3,P3,"migrations/0024:226-245 (resolution_events/resolutions_current); apps/api/src/graph/entities/resolution.service.ts; test/int/phase3-acceptance.test.ts:460,474","Merge is recorded; split and reversal of a merge, ordering/retry/escalation of reconciliation not implemented",Volume 4 App A catalogues the same component; see v04.csv L4-C09,v03.txt:page 32:L1047-L1072,main+test,
L4-C10,V3,12 Knowledge Graph,32,"Graph Quality and Orphan Monitor Measures graph quality and orphan monitor health and fitness, emits decision-active quality state, and initiates exception or remediation workflow.",V03-F005,memory-graph,partial,unverified,merged,phase3,P3,migrations/0024:555-573 (invalidation_events/invalidations_current with truncated/unexplored); apps/api/src/graph/graph.controller.ts:417,"No identity precision/recall, edge validity, orphan-rate or revision-propagation metrics; no remediation workflow",Volume 4 App A catalogues the same component; see v04.csv L4-C10 | passed:harness lacked a resolved test/CI pointer → unverified,v03.txt:page 32:L1050-L1072,main,
L5-C01,V3,13 Digital Twins,34,"Twin Registry and Boundary Service Owns versioned twin registry and boundary definitions, resolution, compatibility, stewardship state, and lifecycle events within Digital Twins.",V03-F006,twin-simulation,implemented,passed:harness,branch-only,phase5,P5,"apps/api/src/twin/twins/twin.service.ts; migrations/0032_twin_registry.sql:42-61,99,126; test/int/phase5-twins.test.ts:109-287","One twin kind (supply-chain) only; enterprise, market, competitor, infrastructure, regulation, process, organisation twins absent",Volume 4 App A catalogues the same component; see v04.csv L5-C01,v03.txt:page 34:L1118-L1131,branch+test,
L5-C02,V3,13 Digital Twins,34,"State Estimation and Reconciliation Owns the state estimation and reconciliation capability inside Digital Twins, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F006,twin-simulation,partial,passed:harness,branch-only,phase5,P5,"migrations/0034:23,135-205; migrations/0035:446,555; apps/api/src/twin/twins/twin.service.ts; test/int/phase5-propagation.test.ts:92,133; test/int/phase5-corrections.test.ts:372,388,397",No state estimator (state is taken from typed citations); no disagreement retention; scheduled/continuous reconciliation absent,Volume 4 App A catalogues the same component; see v04.csv L5-C02,v03.txt:page 34:L1121-L1131,branch+test,
L5-C03,V3,13 Digital Twins,34,"Model Binding and Operating-Envelope Registry Owns versioned model binding and operating-envelope registry definitions, resolution, compatibility, stewardship state, and lifecycle events within Digital Twins.",V03-F006,twin-simulation,partial,unverified,branch-only,phase5,P5,"migrations/0032:49 (twin.behaviour_models), :105 (supply-flow@1), :373 (materiality registry); apps/api/src/twin/models/supply-flow.ts",Single behaviour model; no operating-envelope declaration or envelope-breach handling; no model compatibility/stewardship lifecycle,Volume 4 App A catalogues the same component; see v04.csv L5-C03 | passed:harness lacked a resolved test/CI pointer → unverified,v03.txt:page 34:L1125-L1131,branch,
L5-C04,V3,13 Digital Twins,34,"Snapshot and Version Manager Coordinates snapshot and version lifecycle, admission, ordering, retries, budgets, escalation, completion, and observable state.",V03-F006,twin-simulation,implemented,passed:harness,branch-only,phase5,done,"migrations/0032:126-163 (twin_versions immutable), :458 (digest at admission); apps/api/src/twin/models/supply-flow.digest.ts; test/int/phase5-twins.test.ts",,Volume 4 App A catalogues the same component; see v04.csv L5-C04,v03.txt:page 34:L1129-L1131,branch+test,
L5-C05,V3,13 Digital Twins,35,"Branch and Time-Travel Manager Coordinates branch and time-travel lifecycle, admission, ordering, retries, budgets, escalation, completion, and observable state.",V03-F006,twin-simulation,implemented,passed:harness,branch-only,phase5,done,apps/api/src/twin/twins/twin.service.ts:633-664 (as-of/compare); migrations/0032 branches/forks; test/int/phase5-twins.test.ts,,Volume 4 App A catalogues the same component; see v04.csv L5-C05,v03.txt:page 35:L1135-L1182,branch+test,
L5-C06,V3,13 Digital Twins,35,"Twin Dependency Mapper Owns the twin dependency mapper capability inside Digital Twins, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F006,twin-simulation,partial,unverified,branch-only,phase5,P5,apps/api/src/twin/twins/twin.service.ts:33-56 (typed grounding citations); migrations/0034 propagation,Graph-to-twin mapping only; no cross-twin dependency map or dependency-completeness measure,Volume 4 App A catalogues the same component; see v04.csv L5-C06 | passed:harness lacked a resolved test/CI pointer → unverified,v03.txt:page 35:L1138-L1182,branch,
L5-C07,V3,13 Digital Twins,35,"Behavior and Constraint Runtime Owns the behavior and constraint runtime capability inside Digital Twins, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F006,twin-simulation,partial,passed:harness,branch-only,phase5,P5,"apps/api/src/twin/models/supply-flow.ts; test/unit/phase5-supply-flow.test.ts:99,106,135","Behaviour runtime is a single hard-coded flow model; no constraint runtime (topology, conservation, business rules) or envelope disablement",Volume 4 App A catalogues the same component; see v04.csv L5-C07,v03.txt:page 35:L1142-L1182,branch+test,
L5-C08,V3,13 Digital Twins,35,"Validation and Calibration Service Owns the validation and calibration service capability inside Digital Twins, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F006,twin-simulation,partial,passed:harness,branch-only,phase5,P5,migrations/0032:229 (health); migrations/0035 reconciliation; test/int/phase5-twins.test.ts,"No calibration against observed outcomes, no fitness score, no validation record per snapshot",Volume 4 App A catalogues the same component; see v04.csv L5-C08,v03.txt:page 35:L1146-L1182,branch+test,
L5-C09,V3,13 Digital Twins,35,"Synthetic-State Labelling and Isolation Owns the synthetic-state labelling and isolation capability inside Digital Twins, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F006,twin-simulation,implemented,passed:harness,branch-only,phase5,P5,migrations/0032:221 (element kinds observed/estimated/assumed/predicted/simulated); test/int/phase5-twins.test.ts; test/int/phase5-simulations.test.ts,No scenario element kind; branch-leakage prevention proven only for simulation outputs,Volume 4 App A catalogues the same component; see v04.csv L5-C09,v03.txt:page 35:L1150-L1182,branch+test,
L6-C01,V3,14 Prediction Engine,36,"Forecast Registry and Horizon Service Owns versioned forecast registry and horizon definitions, resolution, compatibility, stewardship state, and lifecycle events within Prediction Engine.",V03-F007,prediction,implemented,passed:harness,branch-only,phase4,done,"apps/api/src/prediction/forecasting/forecasting.service.ts:27-29 (six horizons); migrations/0029:50,102-149 (CHECK :109); test/int/phase4-acceptance.test.ts:487,505",,Volume 4 App A catalogues the same component; see v04.csv L6-C01,v03.txt:page 36:L1214-L1243,branch+test,
L6-C02,V3,14 Prediction Engine,36,"Feature and Context Assembler Owns the feature and context assembler capability inside Prediction Engine, including contract validation, versioned behavior, operational evidence, and failure state.",V03-F007,prediction,partial,unverified,branch-only,phase4,P4,apps/api/src/prediction/series/series.service.ts:1-19 (vintages); migrations/0029:50 (series_registry),Single self-series feature; no evidence/graph/twin context assembly for forecasts,Volume 4 App A catalogues the same component; see v04.csv L6-C02 | passed:harness lacked a resolved test/CI pointer → unverified,v03.txt:page 36:L1218-L1243,branch,
