id,volume,chapter,page,clause,family_seed,capability_area,impl_status,verif_status,release_status,phase_origin,package,evidence,remaining_work,notes
V02-T-011,V2,System model,4,"Each verb (observe, understand, predict, simulate, decide, learn) is an operating capability with explicit inputs, outputs, controls, and accountable ownership.",V02-F001,learning-evaluation,partial,passed:harness,branch-only,phase6,P7-B,"apps/api/src/observation, apps/api/src/intelligence, apps/api/src/prediction, apps/api/src/twin, apps/api/src/decision modules with owner/agent roles (apps/api/migrations/0022, 0023, 0029 forecast_owner/forecast_agent, 0032 twin_owner, 0041 decision_owner); apps/api/test/int/phase1-acceptance.test.ts; apps/api/test/int/phase2-acceptance.test.ts; apps/api/test/int/phase4-acceptance.test.ts; apps/api/test/int/phase5-simulations.test.ts; apps/api/test/int/phase6-decisions.test.ts","LEARN has no capability: no learning objects, owner role or controls; closure records lessons as text only (0045 close_package).",tracking id assigned (slides carry no requirement ids)
V02-T-012,V2,System model,4,The canonical lifecycle is circular: every outcome becomes new evidence.,V02-F001,learning-evaluation,partial,passed:harness,branch-only,phase6,P7-B,apps/api/migrations/0045_decision_monitoring_and_outcomes.sql (record_outcome cites an admitted OBSERVED twin element and a reconciliation; writes OUT into the strategy graph); apps/api/migrations/0029 (prediction.outcome_ledger scores forecasts); apps/api/test/int/phase6-monitoring.test.ts: the OUT: refused without the reconciliation ... the bounded write lands in the strategy graph,Outcomes are not re-admitted as evidence objects for observation/intelligence nor fed into any learning loop; forecast outcome scores do not change models.,tracking id assigned (slides carry no requirement ids)
V02-T-013,V2,System model,4,A simulation can request new observations.,V02-F001,twin-simulation,missing,unverified,none,omission,P5,,No port by which a simulation run or twin version requests collection/observation of a missing or stale element; source readiness is only reported (twin element health incomplete/stale).,tracking id assigned (slides carry no requirement ids); not scheduled in any phase of docs/the-eye-master-build-prompt.md
V02-T-014,V2,System model,4,A decision can reopen a scenario.,V02-F001,decision,missing,unverified,none,omission,P6,"apps/api/test/int/phase6-approvals.test.ts: after commitment nothing reopens: no new version, no dissent, no revocation, no withdrawal, no second commit",No decision→scenario reopen action (a package's monitoring breach records a breach; it does not reopen or re-version the scenario tree).,tracking id assigned (slides carry no requirement ids)
V02-T-015,V2,System model,4,A lesson can change a model—but only through governed release.,V02-F001,learning-evaluation,missing,unverified,none,phase7,P7-B,apps/api/migrations/0045_decision_monitoring_and_outcomes.sql (close_package: lessons as text),"Build the governed release pipeline (propose→evaluate→approve→release→monitor with rollback) for prompts, models, thresholds; link lessons to proposals.","tracking id assigned (slides carry no requirement ids); phase7 per master build prompt; V00-F031, V00-F044"
V02-T-016,V2,Ten-layer architecture,5,"The Knowledge Graph is Layer 4 and the shared model of identity, meaning, time, and relationships. It connects—but does not physically replace—the specialized stores and engines around it.",V02-F001,memory-graph,implemented,passed:harness,merged,phase3,done,"apps/api/src/graph/ (entities, edges, strategy, impact, search); apps/api/migrations/0024_graph_entities_edges_and_strategy.sql; apps/api/test/int/phase3-acceptance.test.ts: every edge carries valid time, record time, mode and evidence; apps/api/test/int/phase5-twins.test.ts: a twin without a boundary entity is refused",,tracking id assigned (slides carry no requirement ids)
V02-T-017,V2,Ten-layer architecture,5,Control plane: trust and provenance.,V02-F001,identity-policy,implemented,passed:harness,merged,phase0,done,"apps/api/migrations/0006_objects.sql (provenance header); apps/api/migrations/0004_audit.sql; apps/api/test/int/audit-chain.test.ts: detects tampering, freezes + records the incident ATOMICALLY; apps/api/test/int/phase2-acceptance.test.ts: the stored claim carries the whole pin, not a summary of it; apps/api/test/int/phase1-acceptance.test.ts: a retrieval writes its custody entry, so a read is evidence too",,tracking id assigned (slides carry no requirement ids)
V02-T-018,V2,Ten-layer architecture,5,Control plane: security and privacy.,V02-F001,identity-policy,partial,passed:harness,merged,phase0,P7-D,apps/api/test/int/domain-isolation.test.ts; apps/api/src/policy/pdp.service.ts; apps/api/src/observation/connectors/redaction.ts; apps/api/src/observation/connectors/content-controls.ts; .github/workflows/ci.yml: supply-chain,"No privacy lifecycle (consent, lawful basis, minimisation, subject rights), no KMS/customer keys, no secret lifecycle beyond environment variables.",tracking id assigned (slides carry no requirement ids); V00-F040
V02-T-019,V2,Ten-layer architecture,5,Control plane: governance and policy.,V02-F001,identity-policy,implemented,passed:harness,merged,phase0,done,apps/api/migrations/0003_policy.sql; apps/api/src/policy/pdp.service.ts (default DENY); apps/api/test/unit/pdp.test.ts; apps/api/test/int/gate22-authority-matrix.test.ts; apps/api/test/int/gate22-capability-binding.test.ts,,tracking id assigned (slides carry no requirement ids)
V02-T-020,V2,Ten-layer architecture,5,Control plane: identity and access.,V02-F001,identity-policy,partial,passed:harness,merged,phase0,P7-D,"apps/api/migrations/0002_identity_tenancy.sql; apps/api/src/identity/identity.service.ts (HS256 JWT sessions, signed context); apps/api/migrations/0017_identity_mutator_governance.sql; apps/api/test/int/domain-isolation.test.ts: rejects context for a revoked session","No SSO/OIDC/SAML, MFA, device or workload identity federation; local principals only.",tracking id assigned (slides carry no requirement ids); master build prompt stack: JWT+RBAC with 'upgrade path to SSO/OIDC'
V02-T-021,V2,Ten-layer architecture,5,Control plane: workflow and audit.,V02-F001,identity-policy,implemented,passed:harness,branch-only,phase6,done,apps/api/migrations/0004_audit.sql; apps/api/test/int/audit-chain.test.ts; apps/api/migrations/0046_executive_agents_and_runs.sql (workflow contract from governed events); apps/api/test/int/phase6-agents.test.ts: the workflow contract reads every step of a decision from its governed events; apps/api/src/observation/scheduling/scheduler.service.ts,,tracking id assigned (slides carry no requirement ids); audit is on main; the workflow contract is Phase 6 branch-only
V02-T-022,V2,Ten-layer architecture,5,Control plane: evaluation and learning.,V02-F001,learning-evaluation,partial,passed:harness,merged,phase7,P7-B,"apps/api/migrations/0029 (prediction.backtests, outcome_ledger); apps/api/migrations/0033_simulation_runs.sql (reproductions verdicts); apps/api/test/int/phase4-acceptance.test.ts: D4 · an outcome is scored from the observation known at the target, and calibration reports it","No cross-layer evaluation plane, benchmark datasets, drift/safety evaluations, or learning pipeline; only forecast calibration and simulation reproduction exist.",tracking id assigned (slides carry no requirement ids); phase7 per master build prompt
V02-T-023,V2,Ten-layer architecture,5,Control plane: deployment parity.,V02-F001,infrastructure,missing,unverified,none,phase7,P7-D,docker-compose.yml (local postgres + redis only); infra/images,"Define the three deployment profiles (SaaS, private cloud, on-prem) with packaging, and a parity test suite executed on each.",tracking id assigned (slides carry no requirement ids); phase7 'Deployment packaging'; V00-F042
V02-T-024,V2,Ten-layer architecture,5,The architecture layers are canonical; technology choices beneath them remain replaceable.,V02-F001,infrastructure,implemented,unverified,merged,phase0,done,apps/api/src/app.module.ts (one NestJS module per layer); apps/api/src/*/*.capabilities.ts (capability ports); apps/api/src/shared/db.ts,,tracking id assigned (slides carry no requirement ids); replaceability is asserted by module/port structure; no second implementation of any store or engine proves it
V02-T-025,V2,Ten-layer architecture,6,World Observation Layer: maintain a measurable field of view across authorized external and internal sources.,V02-F002,observation,implemented,passed:browser,merged,phase1,done,"apps/api/src/observation/sources/sources.service.ts; apps/api/src/observation/coverage/coverage.service.ts; e2e/phase1-observation.spec.ts: coverage reports the planted gap rather than rounding it away; apps/api/test/int/phase1-acceptance.test.ts: every measurement stores its evaluation instant, window, universe and calc version",,tracking id assigned (slides carry no requirement ids)
V02-T-026,V2,Ten-layer architecture,6,"Collection preserves source identity, chain of custody, event and observation time, usage rights, transformations, corrections, and coverage limits.",V02-F002,observation,implemented,passed:harness,merged,phase1,done,"apps/api/test/int/phase1-acceptance.test.ts: every admitted item carries source identity, method, connector version, agent identity and code digest; apps/api/test/int/phase1-acceptance.test.ts: four times are populated per the type rules; apps/api/test/int/phase1-acceptance.test.ts: the digest is verified pre-store, post-store and again on every read; apps/api/src/observation/vault/evidence.service.ts",,tracking id assigned (slides carry no requirement ids)
V02-T-027,V2,Ten-layer architecture,6,Operating mechanism: connector registry + collection policy turns authorized sources into governed evidence.,V02-F002,observation,implemented,passed:harness,merged,phase1,done,apps/api/src/observation/connectors/rest.connector.ts; rss.connector.ts; upload.connector.ts; apps/api/src/observation/acquisition/orchestrator.service.ts; apps/api/migrations/0038_scheduled_collection.sql; apps/api/test/int/phase6-scheduled-collection.test.ts: a promoted tick runs through the worker and the governed path,,tracking id assigned (slides carry no requirement ids); scheduled collection (0038-0040) is branch-only on scheduling/automatic-collection-2026-09
V02-T-028,V2,Ten-layer architecture,6,Governed contract of the observation layer: source contract; rights and purpose; freshness and coverage; classification; correction propagation.,V02-F002,observation,implemented,passed:harness,merged,phase1,done,"apps/api/src/observation/sources/source-contract.ts (authority_and_rights.purposes, rights_state, classification_ceiling, freshness_expectation, coverage_expectations, correction_channel); apps/api/test/int/phase1-acceptance.test.ts: the registered contract carries the complete §7 field set; apps/api/test/int/phase3-corrections.test.ts: an EVIDENCE correction reaches the claims derived from it",,tracking id assigned (slides carry no requirement ids)
V02-T-029,V2,Ten-layer architecture,6,"Principal outputs of the observation layer: evidence, source health, change events, visibility gaps.",V02-F002,observation,implemented,passed:harness,merged,phase1,done,"apps/api/src/observation/vault/vault.service.ts; apps/api/src/observation/coverage/facts.service.ts; apps/api/src/objects/outbox.publisher.ts; apps/api/test/int/phase1-acceptance.test.ts: PUBLISHER LAG is recorded distinctly from COLLECTION FAILURE; apps/api/test/int/phase1-acceptance.test.ts: health replay from stored events is deterministic; apps/api/test/int/phase1-acceptance.test.ts: unknown, indeterminate and insufficient_evidence NEVER map to a healthy state",,tracking id assigned (slides carry no requirement ids)
V02-T-030,V2,Ten-layer architecture,7,"Intelligence Layer: convert heterogeneous evidence into connected, reviewable understanding (extract + resolve + classify + assess).",V02-F002,intelligence,partial,passed:harness,merged,phase2,P2,"apps/api/src/intelligence/extraction/extraction.service.ts; apps/api/src/intelligence/review/review.service.ts; apps/api/src/graph/entities/resolution.service.ts; apps/api/test/int/phase2-acceptance.test.ts: the run produced claims, and every one resolves back to the evidence bytes; apps/api/test/int/phase2-acceptance.test.ts: every claim below the review threshold has a queued case","Heterogeneity is narrow: text excerpts only; no document parsing/OCR/chunking, multilingual extraction, media, or contradiction/summarisation services.",tracking id assigned (slides carry no requirement ids)
V02-T-031,V2,Ten-layer architecture,7,"Deterministic methods, statistical models, foundation models, graph algorithms, and human review may contribute; the producing method and version remain visible.",V02-F002,intelligence,partial,passed:harness,merged,phase2,P2,"apps/api/src/intelligence/methods/methods.service.ts (method pins); apps/api/src/intelligence/gateway/model-gateway.service.ts (replay | local-live; model, weights, prompt, decoding digests on every call); apps/api/test/int/phase2-acceptance.test.ts: the schema REFUSES a claim whose lineage is incomplete; apps/api/test/int/phase2-acceptance.test.ts: each call carries mode, model, versions and an outcome","Only replayed responses or a local open-weights model; no hosted foundation model adapter, no statistical or graph-algorithm method family in L2.",tracking id assigned (slides carry no requirement ids); no hosted model API by design of the gateway (see file header)
V02-T-032,V2,Ten-layer architecture,7,Governed contract of the intelligence layer: method lineage; truth-state separation; model version; confidence; human review.,V02-F002,intelligence,implemented,passed:harness,merged,phase2,done,apps/api/migrations/0023_intelligence_extraction_and_claims.sql; apps/api/test/int/phase2-acceptance.test.ts: the stored claim carries the whole pin; apps/api/test/int/phase2-acceptance.test.ts: a claim ABOVE the threshold is admitted without a case; apps/api/test/int/phase2-acceptance.test.ts: the agent that produced the output may not decide its review; apps/api/migrations/0006_objects.sql (truth_state),,tracking id assigned (slides carry no requirement ids)
V02-T-033,V2,Ten-layer architecture,7,"Principal outputs of the intelligence layer: entities, events, claims, relationships, assessments.",V02-F002,intelligence,implemented,passed:harness,merged,phase2,done,"apps/api/src/intelligence/gateway/model-gateway.service.ts (TYPE_TO_KIND ENT/EVT/CLM/REL/ASM); apps/api/test/int/phase2-acceptance.test.ts: the run produced claims, and every one resolves back to the evidence bytes",,tracking id assigned (slides carry no requirement ids)
V02-T-034,V2,Ten-layer architecture,8,"Enterprise Memory: retain durable, permission-aware organizational and world memory (versioned storage + semantic retrieval).",V02-F003,memory-graph,partial,passed:harness,merged,phase3,P3,"apps/api/src/graph/search/search.service.ts; apps/api/test/int/phase3-acceptance.test.ts: what the caller MAY see, it sees — with the reason it matched; apps/api/test/int/phase3-acceptance.test.ts: search reads METADATA — it never returns evidence bytes; apps/api/migrations/0006_objects.sql (versioned canonical objects)","No semantic retrieval: no embeddings, vector index or hybrid search (no pgvector in migrations); retrieval is metadata match only.",tracking id assigned (slides carry no requirement ids); master build prompt proposed pgvector; not delivered
V02-T-035,V2,Ten-layer architecture,8,"The memory fabric spans structured and unstructured content while preserving provenance, time, tenant, classification, version, retention, and correction history.",V02-F003,memory-graph,partial,passed:harness,merged,phase0,P3,"apps/api/migrations/0006_objects.sql (provenance, classification, retention_profile, correction_of, supersedes); apps/api/migrations/0010_bound_evidence_and_admission_ports.sql; apps/api/test/int/phase1-acceptance.test.ts: a correction SUPERSEDES without overwriting, and the prior version stays retrievable","Retention is a recorded profile, not an enforced policy; unstructured content is limited to uploaded/polled evidence bytes (no communications or telemetry).",tracking id assigned (slides carry no requirement ids)
V02-T-036,V2,Ten-layer architecture,8,Memory contract: tenant isolation.,V02-F003,identity-policy,implemented,passed:harness,merged,phase0,done,apps/api/test/int/domain-isolation.test.ts: domain A cannot READ domain B rows through any scoped table; apps/api/test/int/phase3-acceptance.test.ts: every graph table is under FORCE row-level security; apps/api/test/int/phase4-acceptance.test.ts: D8 · every prediction table is under FORCE row-level security,,tracking id assigned (slides carry no requirement ids)
V02-T-037,V2,Ten-layer architecture,8,Memory contract: temporal accuracy.,V02-F003,memory-graph,implemented,passed:harness,merged,phase1,done,apps/api/test/int/phase1-acceptance.test.ts: four times are populated per the type rules; apps/api/test/int/phase3-acceptance.test.ts: an as-of query BEFORE the edge was asserted returns nothing — no hindsight; apps/api/test/int/phase5-twins.test.ts: RECORD time: a known_at before the evidence was recorded yields no observations,,tracking id assigned (slides carry no requirement ids)
V02-T-038,V2,Ten-layer architecture,8,Memory contract: retention policy.,V02-F003,data-platform,partial,unverified,merged,phase0,P1,"apps/api/migrations/0006_objects.sql (retention_profile); apps/api/src/observation/sources/source-contract.ts (authority_and_rights.retention, deletion_obligation)","Implement retention enforcement: expiry evaluation, retention-driven withdrawal/deletion with evidence, and a retention register per tenant.",tracking id assigned (slides carry no requirement ids); not scheduled in the phase plan
V02-T-039,V2,Ten-layer architecture,8,Memory contract: legal hold.,V02-F003,data-platform,missing,unverified,none,omission,P1,,"No legal-hold object, no hold flag suspending deletion/retention, no hold audit.",tracking id assigned (slides carry no requirement ids); V07-F015 detail
V02-T-040,V2,Ten-layer architecture,8,Memory contract: verifiable deletion.,V02-F003,data-platform,partial,passed:harness,branch-only,phase1,P3,apps/api/migrations/0022_observation_registry_and_evidence.sql (observation.blob_tombstones with reason); apps/api/migrations/0047_replay_prior_dissent.sql (replay reports 'governed-deleted' with tombstone reason); apps/api/test/int/phase6-replay.test.ts: a withdrawal becomes unavailable,"Deletion is tombstoning of evidence blobs only; no deletion across derivatives (claims, edges, embeddings), backups, or a deletion certificate/proof.",tracking id assigned (slides carry no requirement ids)
V02-T-041,V2,Ten-layer architecture,8,"Principal outputs of enterprise memory: versioned memory, retrieval context, strategic record.",V02-F003,memory-graph,partial,passed:harness,merged,phase3,P3,apps/api/migrations/0006_objects.sql; apps/api/migrations/0024_graph_entities_edges_and_strategy.sql (strategy_current); apps/api/test/int/phase3-acceptance.test.ts: a strategy object that names nothing it rests on is refused,"No 'retrieval context' product (bounded, permission-aware context assembled for models or briefings beyond the extraction input excerpt).",tracking id assigned (slides carry no requirement ids)
V02-T-042,V2,Ten-layer architecture,9,"Knowledge Graph: connect the world, the enterprise, and strategic intent through governed relationships (resolve + link + version + govern).",V02-F003,memory-graph,implemented,passed:harness,merged,phase3,done,"apps/api/src/graph/graph.orchestrator.ts; apps/api/src/graph/edges/edges.service.ts; apps/api/src/graph/strategy/strategy.service.ts; apps/api/test/int/phase3-acceptance.test.ts: the edge build produced edges, and every one names its claim and its bytes",,tracking id assigned (slides carry no requirement ids)
V02-T-043,V2,Ten-layer architecture,9,Every layer can refer to the same entities and relationships without forcing all data into one physical store or one model of computation.,V02-F003,memory-graph,implemented,passed:harness,merged,phase5,done,apps/api/migrations/0029 (forecasts_current.subject_entity_id); apps/api/migrations/0032_twin_registry.sql (boundary = graph entities; citations); apps/api/test/int/phase5-twins.test.ts: a boundary entry that is not a resolved entity is refused,,tracking id assigned (slides carry no requirement ids)
V02-T-044,V2,Ten-layer architecture,9,Graph contract: ontology governance.,V02-F003,memory-graph,missing,unverified,none,omission,P3,"apps/api/migrations/0006_objects.sql (ontology_ref column, written as null by apps/api/src/intelligence/extraction/extraction.service.ts and prediction services)","No ontology registry, versioned vocabularies (entity types, predicates), or governed change path; entity types are a fixed CHECK list in 0024.","tracking id assigned (slides carry no requirement ids); ontology changes appear in the Phase 7 governed-learning list, but the ontology itself was never scheduled"
V02-T-045,V2,Ten-layer architecture,9,Graph contract: entity identity.,V02-F003,memory-graph,implemented,passed:harness,merged,phase3,done,"apps/api/migrations/0024_graph_entities_edges_and_strategy.sql (resolutions_current constraints: auto only on identifier, decider is not proposer); apps/api/test/int/phase3-acceptance.test.ts: the database REFUSES an accepted name match, whatever a service intends; apps/api/test/int/phase3-acceptance.test.ts: splits a merged entity without deleting anything",,tracking id assigned (slides carry no requirement ids)
V02-T-046,V2,Ten-layer architecture,9,Graph contract: temporal validity.,V02-F003,memory-graph,implemented,passed:harness,merged,phase3,done,"apps/api/migrations/0024 (edges_current.valid_from/valid_to, edg_temporal_order); apps/api/test/int/phase3-acceptance.test.ts: a retraction removes the edge going forward and leaves the past intact",,tracking id assigned (slides carry no requirement ids)
V02-T-047,V2,Ten-layer architecture,9,Graph contract: edge provenance.,V02-F003,memory-graph,implemented,passed:harness,merged,phase3,done,"apps/api/migrations/0024 (edges_current.claim_id, claim_version, evidence_digest, mode); apps/api/test/int/phase3-acceptance.test.ts: every edge carries valid time, record time, mode and evidence",,tracking id assigned (slides carry no requirement ids)
V02-T-048,V2,Ten-layer architecture,9,Graph contract: relationship policy.,V02-F003,memory-graph,implemented,passed:harness,merged,phase3,done,"apps/api/migrations/0025_impact_closure_and_edge_admission.sql; apps/api/test/int/phase3-corrections.test.ts: refuses a QUEUED claim at the port, not only in the service; apps/api/test/int/phase3-acceptance.test.ts: an edge with an unresolved end is REFUSED",,tracking id assigned (slides carry no requirement ids); policy is admission rules per edge; no per-predicate policy catalogue (would come with ontology governance)
V02-T-049,V2,Ten-layer architecture,9,"Principal outputs of the Knowledge Graph: identity, relationships, provenance, Strategy Graph.",V02-F003,memory-graph,implemented,passed:harness,merged,phase3,done,"apps/api/migrations/0024_graph_entities_edges_and_strategy.sql (strategy_current OBJ/ASU/DEC/CMT/OUT, graph.dependencies); apps/api/test/int/phase3-acceptance.test.ts: every declared assumption starts UNVERIFIED, not assumed true",,tracking id assigned (slides carry no requirement ids)
V02-T-050,V2,Ten-layer architecture,10,"Digital Twins: represent the enterprise and the systems it depends on or seeks to influence — company, competitor, supply chain, product, market, regulation, infrastructure, process, and organization twins.",V02-F004,twin-simulation,partial,passed:harness,merged,phase5,P5,"apps/api/migrations/0032_twin_registry.sql (twin_kind_schemas: only 'supply-chain'; behaviour_models: only supply-flow@1); apps/api/src/twin/models/supply-flow.ts; apps/api/test/int/phase5-twins.test.ts: declares the twin, asserted by a person, with its boundary, model and limitations","Add the other twin families (company, competitor, product, market, regulation, infrastructure, process, organization) as kind schemas with behaviour models and validation.",tracking id assigned (slides carry no requirement ids)
V02-T-051,V2,Ten-layer architecture,10,"Twins declare boundary, evidence, assumptions, behavior, validation, and limitations.",V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,"apps/api/migrations/0032_twin_registry.sql (twins_current.boundary, behaviour_model_ref, validation{status,limitations}; element kinds observed/estimated/assumed/predicted/simulated); apps/api/test/int/phase5-twins.test.ts: declares the twin ... with its boundary, model and limitations",,tracking id assigned (slides carry no requirement ids)
V02-T-052,V2,Ten-layer architecture,10,Operating mechanism: state estimation + behavioral models turn graph + evidence into a living representation.,V02-F004,twin-simulation,partial,passed:harness,merged,phase5,P5,apps/api/migrations/0032 (§6 ports ground/admit; element citations); apps/api/src/twin/twins/twin.service.ts; apps/api/test/int/phase5-twins.test.ts: E2 · an EXTRACTED claim cannot ground an OBSERVED element,No state estimation: elements are grounded by citation only; one behaviour model; no continuous refresh of twin state from new observations (versions are opened by a person).,tracking id assigned (slides carry no requirement ids)
V02-T-053,V2,Ten-layer architecture,10,Twin contract: grounding evidence.,V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,"apps/api/migrations/0032 (citation_ok: kind/id/version/digest); apps/api/test/int/phase5-twins.test.ts: a MATERIAL key substantiated only by an entity is refused, even if the caller says material: false",,tracking id assigned (slides carry no requirement ids)
V02-T-054,V2,Ten-layer architecture,10,Twin contract: model envelope.,V02-F004,twin-simulation,implemented,unverified,merged,phase5,done,apps/api/migrations/0032 (behaviour_models.operating_envelope); apps/api/src/twin/simulations/simulation.service.ts (sensitivityOf marks outside_envelope),,tracking id assigned (slides carry no requirement ids); no harness case named for envelope breach; briefing details surface outside_envelope
V02-T-055,V2,Ten-layer architecture,10,Twin contract: state version.,V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,"apps/api/migrations/0032 (twin_versions append-only, versions_immutable trigger); apps/api/test/int/phase5-twins.test.ts: a change is a NEW version that supersedes, carrying the rest forward; the digest differs",,tracking id assigned (slides carry no requirement ids)
V02-T-056,V2,Ten-layer architecture,10,Twin contract: synthetic-state marking.,V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,apps/api/migrations/0032 (synthetic_state folds upward); apps/api/test/int/phase5-twins.test.ts: E2 · synthetic state folds UPWARD; apps/api/test/int/phase5-simulations.test.ts: a CONTROL run completes ... the SIM object SYNTHETIC; e2e/phase4-prediction.demo.spec.ts: TWINS: the NORDWERK twin shows its synthetic world,,tracking id assigned (slides carry no requirement ids)
V02-T-057,V2,Ten-layer architecture,10,Twin contract: validation history.,V02-F004,twin-simulation,implemented,passed:harness,merged,phase5,done,apps/api/migrations/0032 (twin_events version.unverified/version.reverified); apps/api/test/int/phase5-twins.test.ts: verification changes by EVENT: the projection reflects it and the version row is otherwise unchanged,,tracking id assigned (slides carry no requirement ids)
